"都道府県名","市区町村名","総数（⼈⼝）
【H28.1.1時点】","交付枚数
【H29.3.8時点】","交付率"
"全国","","128,066,211","10,717,919","8.4%"
"⻑野県","下⾼井郡⽊島平村","4,951","217","4.4%"
"⻑野県","下⾼井郡野沢温泉村","3,735","264","7.1%"
"⻑野県","上⽔内郡信濃町","8,943","754","8.4%"
"⻑野県","上⽔内郡⼩川村","2,739","166","6.1%"
"⻑野県","上⽔内郡飯綱町","11,693","683","5.8%"
"⻑野県","下⽔内郡栄村","2,049","78","3.8%"
"岐⾩県","岐⾩市","413,995","30,561","7.4%"
"岐⾩県","⼤垣市","162,395","12,165","7.5%"
"岐⾩県","⾼⼭市","90,763","6,044","6.7%"
"岐⾩県","多治⾒市","113,419","7,942","7.0%"
"岐⾩県","関市","90,879","4,712","5.2%"
"岐⾩県","中津川市","80,894","4,729","5.8%"
"岐⾩県","美濃市","21,653","1,064","4.9%"
"岐⾩県","瑞浪市","38,968","2,734","7.0%"
"岐⾩県","⽻島市","68,620","4,081","5.9%"
"岐⾩県","恵那市","52,339","2,627","5.0%"
"岐⾩県","美濃加茂市","55,808","2,590","4.6%"
"岐⾩県","⼟岐市","59,867","3,538","5.9%"
"岐⾩県","各務原市","148,409","9,355","6.3%"
"岐⾩県","可児市","101,148","7,155","7.1%"
"岐⾩県","⼭県市","28,300","1,695","6.0%"
"岐⾩県","瑞穂市","53,576","3,658","6.8%"
"岐⾩県","⾶騨市","25,561","1,590","6.2%"
"岐⾩県","本巣市","35,175","2,463","7.0%"
"岐⾩県","郡上市","43,940","2,310","5.3%"
"岐⾩県","下呂市","34,351","2,071","6.0%"
"岐⾩県","海津市","36,313","2,618","7.2%"
"岐⾩県","⽻島郡岐南町","24,903","1,418","5.7%"
"岐⾩県","⽻島郡笠松町","22,550","1,664","7.4%"
"岐⾩県","養⽼郡養⽼町","30,548","1,929","6.3%"
"岐⾩県","不破郡垂井町","28,074","1,915","6.8%"
"岐⾩県","不破郡関ケ原町","7,569","538","7.1%"
"岐⾩県","安⼋郡神⼾町","19,738","1,419","7.2%"
"岐⾩県","安⼋郡輪之内町","9,943","544","5.5%"
"岐⾩県","安⼋郡安⼋町","15,251","958","6.3%"
"岐⾩県","揖斐郡揖斐川町","22,476","1,303","5.8%"
"岐⾩県","揖斐郡⼤野町","23,792","1,511","6.4%"
"岐⾩県","揖斐郡池⽥町","24,572","1,372","5.6%"
"岐⾩県","本巣郡北⽅町","18,344","1,236","6.7%"
"岐⾩県","加茂郡坂祝町","8,238","527","6.4%"
"岐⾩県","加茂郡富加町","5,720","318","5.6%"
"岐⾩県","加茂郡川辺町","10,543","592","5.6%"
"岐⾩県","加茂郡七宗町","4,135","303","7.3%"
"岐⾩県","加茂郡⼋百津町","11,618","775","6.7%"
"岐⾩県","加茂郡⽩川町","8,916","477","5.3%"
"岐⾩県","加茂郡東⽩川村","2,432","144","5.9%"
"岐⾩県","可児郡御嵩町","18,766","1,443","7.7%"
"岐⾩県","⼤野郡⽩川村","1,694","80","4.7%"
"静岡県","静岡市","712,184","59,401","8.3%"
"静岡県","浜松市","809,027","60,564","7.5%"
"静岡県","沼津市","200,704","17,901","8.9%"
"静岡県","熱海市","38,055","4,439","11.7%"
"静岡県","三島市","111,601","9,781","8.8%"
