"都道府県名","総数（人口）
【H28.1.1時点】","交付枚数
【H29.3.8時点】","人口に対する
交付枚数率"
"北海道","5,401,210","404,742","7.5%"
"青森県","1,338,465","106,335","7.9%"
"岩手県","1,289,470","102,734","8.0%"
"宮城県","2,324,466","191,333","8.2%"
"秋田県","1,043,015","70,934","6.8%"
"山形県","1,129,560","67,050","5.9%"
"福島県","1,953,699","149,382","7.6%"
"茨城県","2,970,231","249,233","8.4%"
"栃木県","1,998,864","151,105","7.6%"
"群馬県","2,005,320","146,467","7.3%"
"埼玉県","7,323,413","630,483","8.6%"
"千葉県","6,265,899","600,931","9.6%"
"東京都","13,415,349","1,341,882","10.0%"
"神奈川県","9,136,151","954,473","10.4%"
"新潟県","2,319,435","146,401","6.3%"
"富山県","1,080,160","84,727","7.8%"
"石川県","1,157,042","79,447","6.9%"
"福井県","799,220","44,693","5.6%"
"山梨県","849,784","59,910","7.1%"
"長野県","2,137,666","146,825","6.9%"
"岐阜県","2,076,195","136,168","6.6%"
"静岡県","3,770,619","303,139","8.0%"
"愛知県","7,509,636","590,188","7.9%"
"三重県","1,850,028","120,802","6.5%"
