"都道府県名","市区町村名","総数（人口）
【H28.1.1時点】","交付枚数
【H29.5.15時点】","交付率"
"全国","","128,066,211","11,474,475","9.0%"
"徳島県","美馬市","30,860","2,243","7.3%"
"徳島県","三好市","28,242","2,930","10.4%"
"徳島県","勝浦郡勝浦町","5,516","336","6.1%"
"徳島県","勝浦郡上勝町","1,699","187","11.0%"
"徳島県","名東郡佐那河内村","2,499","191","7.6%"
"徳島県","名西郡石井町","26,357","1,716","6.5%"
"徳島県","名西郡神山町","5,810","346","6.0%"
"徳島県","那賀郡那賀町","9,107","460","5.1%"
"徳島県","海部郡牟岐町","4,474","230","5.1%"
"徳島県","海部郡美波町","7,315","585","8.0%"
"徳島県","海部郡海陽町","10,002","532","5.3%"
"徳島県","板野郡松茂町","15,426","1,439","9.3%"
"徳島県","板野郡北島町","23,004","1,747","7.6%"
"徳島県","板野郡藍住町","34,869","2,760","7.9%"
"徳島県","板野郡板野町","13,648","1,140","8.4%"
"徳島県","板野郡上板町","12,455","660","5.3%"
"徳島県","美馬郡つるぎ町","9,838","662","6.7%"
"徳島県","三好郡東みよし町","14,943","1,003","6.7%"
"香川県","高松市","429,451","33,753","7.9%"
"香川県","丸亀市","113,587","7,996","7.0%"
"香川県","坂出市","54,798","3,668","6.7%"
"香川県","善通寺市","32,842","2,740","8.3%"
"香川県","観音寺市","62,130","3,781","6.1%"
"香川県","さぬき市","50,965","4,008","7.9%"
"香川県","東かがわ市","32,365","2,609","8.1%"
"香川県","三豊市","68,084","5,318","7.8%"
"香川県","小豆郡土庄町","14,722","1,098","7.5%"
"香川県","小豆郡小豆島町","15,525","1,097","7.1%"
"香川県","木田郡三木町","28,632","2,130","7.4%"
"香川県","香川郡直島町","3,144","254","8.1%"
"香川県","綾歌郡宇多津町","18,508","1,279","6.9%"
"香川県","綾歌郡綾川町","24,742","1,640","6.6%"
"香川県","仲多度郡琴平町","9,572","773","8.1%"
"香川県","仲多度郡多度津町","23,726","1,643","6.9%"
"香川県","仲多度郡まんのう町","19,380","1,232","6.4%"
"愛媛県","松山市","517,057","37,431","7.2%"
"愛媛県","今治市","164,769","11,824","7.2%"
"愛媛県","宇和島市","80,422","5,990","7.4%"
"愛媛県","八幡浜市","35,931","2,991","8.3%"
"愛媛県","新居浜市","122,347","8,582","7.0%"
"愛媛県","西条市","112,230","7,094","6.3%"
"愛媛県","大洲市","45,539","2,862","6.3%"
"愛媛県","伊予市","38,170","2,563","6.7%"
"愛媛県","四国中央市","90,242","4,754","5.3%"
"愛媛県","西予市","40,426","6,173","15.3%"
"愛媛県","東温市","33,766","2,750","8.1%"
"愛媛県","越智郡上島町","7,319","911","12.4%"
"愛媛県","上浮穴郡久万高原町","9,040","863","9.5%"
"愛媛県","伊予郡松前町","30,985","2,656","8.6%"
"愛媛県","伊予郡砥部町","21,612","1,891","8.7%"
"愛媛県","喜多郡内子町","17,543","1,212","6.9%"
"愛媛県","西宇和郡伊方町","10,224","683","6.7%"
"愛媛県","北宇和郡松野町","4,224","235","5.6%"
