"年齢","人口（H28.1.1時点）","","","交付件数（H29.5.15時点）","","","交付率","","","全体に対する交付件数割合","",""
"","男","女","計","男","女","計","男","女","計","男","女","計"
"全体","62,464,685","","65,601,526 128,066,211","6,201,644","5,272,831","11,474,475","9.9%","8.0%","9.0%","100.0%","100.0%","100.0%"
"0～4歳","2,654,125","2,524,743","5,178,868","46,582","44,075","90,657","1.8%","1.7%","1.8%","0.8%","0.8%","0.8%"
"5～9","2,805,336","2,664,667","5,470,003","71,265","68,838","140,103","2.5%","2.6%","2.6%","1.1%","1.3%","1.2%"
"10～14","2,907,523","2,765,413","5,672,936","66,225","65,979","132,204","2.3%","2.4%","2.3%","1.1%","1.3%","1.2%"
"15～19","3,105,097","2,956,644","6,061,741","99,026","95,381","194,407","3.2%","3.2%","3.2%","1.6%","1.8%","1.7%"
"20～24","3,227,543","3,069,236","6,296,779","182,713","179,112","361,825","5.7%","5.8%","5.7%","2.9%","3.4%","3.2%"
"25～29","3,457,088","3,287,485","6,744,573","232,555","202,409","434,964","6.7%","6.2%","6.5%","3.7%","3.8%","3.8%"
"30～34","3,870,646","3,723,715","7,594,361","278,685","234,377","513,062","7.2%","6.3%","6.8%","4.5%","4.4%","4.5%"
"35～39","4,337,775","4,181,123","8,518,898","307,371","238,759","546,130","7.1%","5.7%","6.4%","5.0%","4.5%","4.8%"
"40～44","5,061,058","4,898,559","9,959,617","361,099","260,732","621,831","7.1%","5.3%","6.2%","5.8%","4.9%","5.4%"
"45～49","4,486,719","4,382,259","8,868,978","390,135","286,274","676,409","8.7%","6.5%","7.6%","6.3%","5.4%","5.9%"
"50～54","4,078,198","4,034,574","8,112,772","410,113","314,456","724,569","10.1%","7.8%","8.9%","6.6%","6.0%","6.3%"
"55～59","3,777,037","3,794,514","7,571,551","463,699","381,587","845,286","12.3%","10.1%","11.2%","7.5%","7.2%","7.4%"
"60～64","4,141,310","4,252,037","8,393,347","578,446","491,271","1,069,717","14.0%","11.6%","12.7%","9.3%","9.3%","9.3%"
"65～69","4,788,981","5,091,137","9,880,118","813,334","689,955","1,503,289","17.0%","13.6%","15.2%","13.1%","13.1%","13.1%"
"70～74","3,515,913","4,046,636","7,562,549","665,211","603,797","1,269,008","18.9%","14.9%","16.8%","10.7%","11.5%","11.1%"
"75～79","2,785,544","3,497,578","6,283,122","574,692","526,643","1,101,335","20.6%","15.1%","17.5%","9.3%","10.0%","9.6%"
"80～84","1,999,716","2,986,273","4,985,989","397,517","354,368","751,885","19.9%","11.9%","15.1%","6.4%","6.7%","6.6%"
"85～89","1,052,490","2,054,044","3,106,534","198,656","173,471","372,127","18.9%","8.4%","12.0%","3.2%","3.3%","3.2%"
"90～94","339,767","1,031,462","1,371,229","56,750","51,682","108,432","16.7%","5.0%","7.9%","0.9%","1.0%","0.9%"
"95～99","64,868","305,228","370,096","7,066","8,742","15,808","10.9%","2.9%","4.3%","0.1%","0.2%","0.1%"
"100歳以上","7,931","54,154","62,085","504","923","1,427","6.4%","1.7%","2.3%","0.0%","0.0%","0.0%"
