"公開日","都道府県名","総数（人口）","交付枚数","交付率","人口算出基準日","交付件数基準日"
"2017/12/01","北海道",5370807,472271,8.8,"2017/01/01","2017/12/01"
"2017/12/01","青森県",1323861,124297,9.4,"2017/01/01","2017/12/01"
"2017/12/01","岩手県",1277271,118629,9.3,"2017/01/01","2017/12/01"
"2017/12/01","宮城県",2319438,226178,9.8,"2017/01/01","2017/12/01"
"2017/12/01","秋田県",1029196,81155,7.9,"2017/01/01","2017/12/01"
"2017/12/01","山形県",1118468,79107,7.1,"2017/01/01","2017/12/01"
"2017/12/01","福島県",1938559,173550,9.0,"2017/01/01","2017/12/01"
"2017/12/01","茨城県",2960458,297132,10.0,"2017/01/01","2017/12/01"
"2017/12/01","栃木県",1991597,178366,9.0,"2017/01/01","2017/12/01"
"2017/12/01","群馬県",1998275,169516,8.5,"2017/01/01","2017/12/01"
"2017/12/01","埼玉県",7343807,753862,10.3,"2017/01/01","2017/12/01"
"2017/12/01","千葉県",6283602,725973,11.6,"2017/01/01","2017/12/01"
"2017/12/01","東京都",13530053,1739811,12.9,"2017/01/01","2017/12/01"
"2017/12/01","神奈川県",9155389,1181533,12.9,"2017/01/01","2017/12/01"
"2017/12/01","新潟県",2300923,170300,7.4,"2017/01/01","2017/12/01"
"2017/12/01","富山県",1074705,98039,9.1,"2017/01/01","2017/12/01"
"2017/12/01","石川県",1153627,92230,8.0,"2017/01/01","2017/12/01"
"2017/12/01","福井県",794433,53888,6.8,"2017/01/01","2017/12/01"
"2017/12/01","山梨県",844717,70555,8.4,"2017/01/01","2017/12/01"
"2017/12/01","長野県",2126064,177428,8.3,"2017/01/01","2017/12/01"
"2017/12/01","岐阜県",2066266,159550,7.7,"2017/01/01","2017/12/01"
"2017/12/01","静岡県",3756865,357218,9.5,"2017/01/01","2017/12/01"
"2017/12/01","愛知県",7532231,698305,9.3,"2017/01/01","2017/12/01"
"2017/12/01","三重県",1841753,149251,8.1,"2017/01/01","2017/12/01"
"2017/12/01","滋賀県",1420260,136956,9.6,"2017/01/01","2017/12/01"
"2017/12/01","京都府",2569410,256818,10.0,"2017/01/01","2017/12/01"
"2017/12/01","大阪府",8861437,992844,11.2,"2017/01/01","2017/12/01"
"2017/12/01","兵庫県",5606545,659271,11.8,"2017/01/01","2017/12/01"
"2017/12/01","奈良県",1380181,162934,11.8,"2017/01/01","2017/12/01"
"2017/12/01","和歌山県",984689,77282,7.8,"2017/01/01","2017/12/01"
"2017/12/01","鳥取県",575264,48207,8.4,"2017/01/01","2017/12/01"
"2017/12/01","島根県",696382,63435,9.1,"2017/01/01","2017/12/01"
"2017/12/01","岡山県",1927632,164297,8.5,"2017/01/01","2017/12/01"
"2017/12/01","広島県",2857475,294790,10.3,"2017/01/01","2017/12/01"
"2017/12/01","山口県",1408588,143491,10.2,"2017/01/01","2017/12/01"
"2017/12/01","徳島県",764213,62463,8.2,"2017/01/01","2017/12/01"
"2017/12/01","香川県",997811,83929,8.4,"2017/01/01","2017/12/01"
"2017/12/01","愛媛県",1405325,114975,8.2,"2017/01/01","2017/12/01"
"2017/12/01","高知県",732535,46100,6.3,"2017/01/01","2017/12/01"
"2017/12/01","福岡県",5126389,457365,8.9,"2017/01/01","2017/12/01"
"2017/12/01","佐賀県",837977,67898,8.1,"2017/01/01","2017/12/01"
"2017/12/01","長崎県",1392950,138621,10.0,"2017/01/01","2017/12/01"
"2017/12/01","熊本県",1798149,167731,9.3,"2017/01/01","2017/12/01"
"2017/12/01","大分県",1176891,105549,9.0,"2017/01/01","2017/12/01"
"2017/12/01","宮崎県",1119544,149277,13.3,"2017/01/01","2017/12/01"
"2017/12/01","鹿児島県",1668003,156408,9.4,"2017/01/01","2017/12/01"
"2017/12/01","沖縄県",1467071,110352,7.5,"2017/01/01","2017/12/01"
