"都道府県名","市区町村名","総数（人口）","交付枚数","交付率","人口算出基準日","交付件数基準日"
"北海道","札幌市",1947494,179902,9.2,"2017/01/01","2018/03/01"
"北海道","函館市",265503,23204,8.7,"2017/01/01","2018/03/01"
"北海道","小樽市",120769,11686,9.7,"2017/01/01","2018/03/01"
"北海道","旭川市",342848,26725,7.8,"2017/01/01","2018/03/01"
"北海道","室蘭市",87180,9820,11.3,"2017/01/01","2018/03/01"
"北海道","釧路市",174518,16140,9.2,"2017/01/01","2018/03/01"
"北海道","帯広市",168096,14363,8.5,"2017/01/01","2018/03/01"
"北海道","北見市",119978,11612,9.7,"2017/01/01","2018/03/01"
"北海道","夕張市",8685,1014,11.7,"2017/01/01","2018/03/01"
"北海道","岩見沢市",83942,8001,9.5,"2017/01/01","2018/03/01"
"北海道","網走市",36912,3660,9.9,"2017/01/01","2018/03/01"
"北海道","留萌市",22137,1995,9.0,"2017/01/01","2018/03/01"
"北海道","苫小牧市",173135,18529,10.7,"2017/01/01","2018/03/01"
"北海道","稚内市",35490,4000,11.3,"2017/01/01","2018/03/01"
"北海道","美唄市",22724,2076,9.1,"2017/01/01","2018/03/01"
"北海道","芦別市",14512,1565,10.8,"2017/01/01","2018/03/01"
"北海道","江別市",119182,9950,8.3,"2017/01/01","2018/03/01"
"北海道","赤平市",10772,1292,12.0,"2017/01/01","2018/03/01"
"北海道","紋別市",22866,1582,6.9,"2017/01/01","2018/03/01"
"北海道","士別市",19699,1785,9.1,"2017/01/01","2018/03/01"
"北海道","名寄市",28280,2714,9.6,"2017/01/01","2018/03/01"
"北海道","三笠市",9001,1003,11.1,"2017/01/01","2018/03/01"
"北海道","根室市",27018,1989,7.4,"2017/01/01","2018/03/01"
"北海道","千歳市",96428,11726,12.2,"2017/01/01","2018/03/01"
"北海道","滝川市",41241,4114,10.0,"2017/01/01","2018/03/01"
"北海道","砂川市",17565,1778,10.1,"2017/01/01","2018/03/01"
"北海道","歌志内市",3524,359,10.2,"2017/01/01","2018/03/01"
"北海道","深川市",21597,1680,7.8,"2017/01/01","2018/03/01"
"北海道","富良野市",22598,2424,10.7,"2017/01/01","2018/03/01"
"北海道","登別市",49440,4884,9.9,"2017/01/01","2018/03/01"
"北海道","恵庭市",69227,7574,10.9,"2017/01/01","2018/03/01"
"北海道","伊達市",35098,3175,9.0,"2017/01/01","2018/03/01"
"北海道","北広島市",59133,5282,8.9,"2017/01/01","2018/03/01"
"北海道","石狩市",58950,5770,9.8,"2017/01/01","2018/03/01"
"北海道","北斗市",47181,3544,7.5,"2017/01/01","2018/03/01"
"北海道","石狩郡当別町",16602,1654,10.0,"2017/01/01","2018/03/01"
"北海道","石狩郡新篠津村",3220,201,6.2,"2017/01/01","2018/03/01"
"北海道","松前郡松前町",7793,793,10.2,"2017/01/01","2018/03/01"
"北海道","松前郡福島町",4347,305,7.0,"2017/01/01","2018/03/01"
"北海道","上磯郡知内町",4583,253,5.5,"2017/01/01","2018/03/01"
"北海道","上磯郡木古内町",4431,397,9.0,"2017/01/01","2018/03/01"
"北海道","亀田郡七飯町",28574,2453,8.6,"2017/01/01","2018/03/01"
"北海道","茅部郡鹿部町",4082,339,8.3,"2017/01/01","2018/03/01"
"北海道","茅部郡森町",16255,1084,6.7,"2017/01/01","2018/03/01"
"北海道","二海郡八雲町",17277,1329,7.7,"2017/01/01","2018/03/01"
"北海道","山越郡長万部町",5625,433,7.7,"2017/01/01","2018/03/01"
"北海道","檜山郡江差町",8084,642,7.9,"2017/01/01","2018/03/01"
"北海道","檜山郡上ノ国町",5131,385,7.5,"2017/01/01","2018/03/01"
"北海道","檜山郡厚沢部町",4111,299,7.3,"2017/01/01","2018/03/01"
"北海道","爾志郡乙部町",3919,167,4.3,"2017/01/01","2018/03/01"
"北海道","奥尻郡奥尻町",2795,228,8.2,"2017/01/01","2018/03/01"
"北海道","瀬棚郡今金町",5544,611,11.0,"2017/01/01","2018/03/01"
"北海道","久遠郡せたな町",8453,489,5.8,"2017/01/01","2018/03/01"
