"公開日","都道府県名","市区町村名","総数(人口)","交付枚数","交付率","人口算出基準日","交付件数基準日"
"2020/04/01","北海道","札幌市",1955457,269882,13.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","函館市",258948,32933,12.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","小樽市",116529,15761,13.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","旭川市",337392,40963,12.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","室蘭市",84405,13288,15.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","釧路市",170364,25894,15.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","帯広市",166889,19742,11.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","北見市",117806,16256,13.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","夕張市",8087,1189,14.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","岩見沢市",81778,11503,14.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","網走市",35704,4924,13.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","留萌市",21310,2882,13.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","苫小牧市",171811,28012,16.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","稚内市",34249,5570,16.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","美唄市",21602,3058,14.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","芦別市",13635,2013,14.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","江別市",118985,14621,12.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","赤平市",10186,1692,16.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","紋別市",22044,2113,9.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","士別市",18965,2363,12.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","名寄市",27582,4385,15.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","三笠市",8562,1393,16.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","根室市",25953,2713,10.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","千歳市",97061,20524,21.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","滝川市",40365,5785,14.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","砂川市",17137,3151,18.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","歌志内市",3275,471,14.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","深川市",20804,2170,10.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","富良野市",21921,3176,14.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","登別市",48395,7255,15.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","恵庭市",69850,12416,17.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","伊達市",34365,4193,12.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","北広島市",58630,7454,12.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","石狩市",58345,7972,13.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","北斗市",46487,4589,9.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","石狩郡当別町",16061,2207,13.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","石狩郡新篠津村",3101,262,8.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","松前郡松前町",7257,1115,15.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","松前郡福島町",4107,373,9.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上磯郡知内町",4388,366,8.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上磯郡木古内町",4176,551,13.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","亀田郡七飯町",28288,3220,11.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","茅部郡鹿部町",3961,496,12.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","茅部郡森町",15575,2004,12.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","二海郡八雲町",16685,1928,11.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","山越郡長万部町",5493,606,11.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","檜山郡江差町",7732,893,11.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","檜山郡上ノ国町",4851,524,10.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","檜山郡厚沢部町",3880,382,9.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","爾志郡乙部町",3723,241,6.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","奥尻郡奥尻町",2655,403,15.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","瀬棚郡今金町",5356,1131,21.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","久遠郡せたな町",7971,715,9.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","島牧郡島牧村",1477,187,12.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","寿都郡寿都町",2994,494,16.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","寿都郡黒松内町",2837,390,13.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","磯谷郡蘭越町",4717,526,11.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","虻田郡ニセコ町",5298,551,10.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","虻田郡真狩村",2102,199,9.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","虻田郡留寿都村",2047,254,12.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","虻田郡喜茂別町",2209,191,8.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","虻田郡京極町",3042,265,8.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","虻田郡倶知安町",16642,1991,12.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","岩内郡共和町",5942,865,14.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","岩内郡岩内町",12623,1598,12.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","古宇郡泊村",1652,222,13.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","古宇郡神恵内村",861,98,11.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","積丹郡積丹町",2043,342,16.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","古平郡古平町",3092,381,12.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","余市郡仁木町",3321,347,10.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","余市郡余市町",18894,2026,10.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","余市郡赤井川村",1262,148,11.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","空知郡南幌町",7573,1203,15.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","空知郡奈井江町",5435,1058,19.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","空知郡上砂川町",2987,512,17.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","夕張郡由仁町",5173,719,13.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","夕張郡長沼町",10876,1616,14.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","夕張郡栗山町",11823,1640,13.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","樺戸郡月形町",3216,388,12.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","樺戸郡浦臼町",1844,380,20.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","樺戸郡新十津川町",6609,1025,15.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","雨竜郡妹背牛町",2976,568,19.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","雨竜郡秩父別町",2424,300,12.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","雨竜郡雨竜町",2404,356,14.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","雨竜郡北竜町",1868,320,17.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","雨竜郡沼田町",3131,526,16.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡鷹栖町",6925,714,10.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡東神楽町",10321,1102,10.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡当麻町",6493,696,10.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡比布町",3753,307,8.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡愛別町",2785,380,13.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡上川町",3594,610,17.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡東川町",8382,1091,13.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡美瑛町",10043,1188,11.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","空知郡上富良野町",10789,2242,20.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","空知郡中富良野町",5019,906,18.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","空知郡南富良野町",2515,373,14.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","勇払郡占冠村",1508,205,13.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡和寒町",3369,439,13.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡剣淵町",3131,387,12.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡下川町",3303,327,9.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","中川郡美深町",4364,530,12.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","中川郡音威子府村",763,103,13.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","中川郡中川町",1522,249,16.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","雨竜郡幌加内町",1508,280,18.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","増毛郡増毛町",4339,576,13.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","留萌郡小平町",3168,339,10.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","苫前郡苫前町",3100,323,10.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","苫前郡羽幌町",6993,994,14.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","苫前郡初山別村",1173,135,11.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","天塩郡遠別町",2692,298,11.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","天塩郡天塩町",3065,413,13.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","宗谷郡猿払村",2745,266,9.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","枝幸郡浜頓別町",3618,451,12.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","枝幸郡中頓別町",1730,156,9.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","枝幸郡枝幸町",8177,1469,18.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","天塩郡豊富町",3940,560,14.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","礼文郡礼文町",2526,320,12.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","利尻郡利尻町",2037,312,15.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","利尻郡利尻富士町",2492,358,14.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","天塩郡幌延町",2330,414,17.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","網走郡美幌町",19578,2524,12.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","網走郡津別町",4713,418,8.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","斜里郡斜里町",11610,1598,13.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","斜里郡清里町",4110,391,9.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","斜里郡小清水町",4897,655,13.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","常呂郡訓子府町",5000,462,9.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","常呂郡置戸町",2921,426,14.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","常呂郡佐呂間町",5212,486,9.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","紋別郡遠軽町",19984,2195,11.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","紋別郡湧別町",8862,774,8.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","紋別郡滝上町",2603,294,11.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","紋別郡興部町",3815,400,10.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","紋別郡西興部村",1114,94,8.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","紋別郡雄武町",4422,472,10.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","網走郡大空町",7235,577,8.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","虻田郡豊浦町",3991,384,9.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","有珠郡壮瞥町",2513,496,19.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","白老郡白老町",16981,2368,13.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","勇払郡厚真町",4596,573,12.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","虻田郡洞爺湖町",8841,999,11.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","勇払郡安平町",7966,1017,12.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","勇払郡むかわ町",8126,1189,14.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","沙流郡日高町",12132,1255,10.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","沙流郡平取町",5036,507,10.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","新冠郡新冠町",5553,544,9.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","浦河郡浦河町",12445,1271,10.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","様似郡様似町",4322,341,7.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","幌泉郡えりも町",4729,388,8.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","日高郡新ひだか町",22677,2722,12.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","河東郡音更町",44660,4423,9.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","河東郡士幌町",6163,542,8.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","河東郡上士幌町",5000,511,10.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","河東郡鹿追町",5433,841,15.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡新得町",6217,597,9.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","上川郡清水町",9494,670,7.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","河西郡芽室町",18667,1648,8.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","河西郡中札内村",3918,412,10.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","河西郡更別村",3175,358,11.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","広尾郡大樹町",5627,609,10.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","広尾郡広尾町",6888,771,11.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","中川郡幕別町",26844,2619,9.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","中川郡池田町",6750,885,13.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","中川郡豊頃町",3205,349,10.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","中川郡本別町",7087,635,9.0,"2019/01/01","2020/04/01"
"2020/04/01","北海道","足寄郡足寄町",6928,770,11.1,"2019/01/01","2020/04/01"
"2020/04/01","北海道","足寄郡陸別町",2389,246,10.3,"2019/01/01","2020/04/01"
"2020/04/01","北海道","十勝郡浦幌町",4754,559,11.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","釧路郡釧路町",19802,2124,10.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","厚岸郡厚岸町",9396,881,9.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","厚岸郡浜中町",5860,571,9.7,"2019/01/01","2020/04/01"
"2020/04/01","北海道","川上郡標茶町",7619,681,8.9,"2019/01/01","2020/04/01"
"2020/04/01","北海道","川上郡弟子屈町",7255,844,11.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","阿寒郡鶴居村",2534,283,11.2,"2019/01/01","2020/04/01"
"2020/04/01","北海道","白糠郡白糠町",7918,932,11.8,"2019/01/01","2020/04/01"
"2020/04/01","北海道","野付郡別海町",15171,1753,11.6,"2019/01/01","2020/04/01"
"2020/04/01","北海道","標津郡中標津町",23493,3629,15.4,"2019/01/01","2020/04/01"
"2020/04/01","北海道","標津郡標津町",5347,615,11.5,"2019/01/01","2020/04/01"
"2020/04/01","北海道","目梨郡羅臼町",5091,547,10.7,"2019/01/01","2020/04/01"
"2020/04/01","青森県","青森市",284531,44425,15.6,"2019/01/01","2020/04/01"
"2020/04/01","青森県","弘前市",172031,24278,14.1,"2019/01/01","2020/04/01"
"2020/04/01","青森県","八戸市",230042,34962,15.2,"2019/01/01","2020/04/01"
"2020/04/01","青森県","黒石市",33499,3385,10.1,"2019/01/01","2020/04/01"
"2020/04/01","青森県","五所川原市",54780,6882,12.6,"2019/01/01","2020/04/01"
"2020/04/01","青森県","十和田市",61717,9687,15.7,"2019/01/01","2020/04/01"
"2020/04/01","青森県","三沢市",40051,7136,17.8,"2019/01/01","2020/04/01"
