"公開日","都道府県名","市区町村名","総数（人口）","交付枚数","交付率","人口算出基準日","交付件数基準日"
"2017/08/31","北海道","札幌市",1947494,165035,8.5,"2017/01/01","2017/08/31"
"2017/08/31","北海道","函館市",265503,21787,8.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","小樽市",120769,10917,9.0,"2017/01/01","2017/08/31"
"2017/08/31","北海道","旭川市",342848,24260,7.1,"2017/01/01","2017/08/31"
"2017/08/31","北海道","室蘭市",87180,9232,10.6,"2017/01/01","2017/08/31"
"2017/08/31","北海道","釧路市",174518,14666,8.4,"2017/01/01","2017/08/31"
"2017/08/31","北海道","帯広市",168096,13369,8.0,"2017/01/01","2017/08/31"
"2017/08/31","北海道","北見市",119978,10912,9.1,"2017/01/01","2017/08/31"
"2017/08/31","北海道","夕張市",8685,969,11.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","岩見沢市",83942,7315,8.7,"2017/01/01","2017/08/31"
"2017/08/31","北海道","網走市",36912,3407,9.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","留萌市",22137,1905,8.6,"2017/01/01","2017/08/31"
"2017/08/31","北海道","苫小牧市",173135,17259,10.0,"2017/01/01","2017/08/31"
"2017/08/31","北海道","稚内市",35490,3734,10.5,"2017/01/01","2017/08/31"
"2017/08/31","北海道","美唄市",22724,1911,8.4,"2017/01/01","2017/08/31"
"2017/08/31","北海道","芦別市",14512,1465,10.1,"2017/01/01","2017/08/31"
"2017/08/31","北海道","江別市",119182,9144,7.7,"2017/01/01","2017/08/31"
"2017/08/31","北海道","赤平市",10772,1212,11.3,"2017/01/01","2017/08/31"
"2017/08/31","北海道","紋別市",22866,1444,6.3,"2017/01/01","2017/08/31"
"2017/08/31","北海道","士別市",19699,1692,8.6,"2017/01/01","2017/08/31"
"2017/08/31","北海道","名寄市",28280,2595,9.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","三笠市",9001,921,10.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","根室市",27018,1845,6.8,"2017/01/01","2017/08/31"
"2017/08/31","北海道","千歳市",96428,10814,11.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","滝川市",41241,3899,9.5,"2017/01/01","2017/08/31"
"2017/08/31","北海道","砂川市",17565,1646,9.4,"2017/01/01","2017/08/31"
"2017/08/31","北海道","歌志内市",3524,344,9.8,"2017/01/01","2017/08/31"
"2017/08/31","北海道","深川市",21597,1579,7.3,"2017/01/01","2017/08/31"
"2017/08/31","北海道","富良野市",22598,2310,10.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","登別市",49440,4539,9.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","恵庭市",69227,6831,9.9,"2017/01/01","2017/08/31"
"2017/08/31","北海道","伊達市",35098,3015,8.6,"2017/01/01","2017/08/31"
"2017/08/31","北海道","北広島市",59133,4784,8.1,"2017/01/01","2017/08/31"
"2017/08/31","北海道","石狩市",58950,5278,9.0,"2017/01/01","2017/08/31"
"2017/08/31","北海道","北斗市",47181,3167,6.7,"2017/01/01","2017/08/31"
"2017/08/31","北海道","石狩郡当別町",16602,1542,9.3,"2017/01/01","2017/08/31"
"2017/08/31","北海道","石狩郡新篠津村",3220,195,6.1,"2017/01/01","2017/08/31"
"2017/08/31","北海道","松前郡松前町",7793,741,9.5,"2017/01/01","2017/08/31"
"2017/08/31","北海道","松前郡福島町",4347,300,6.9,"2017/01/01","2017/08/31"
"2017/08/31","北海道","上磯郡知内町",4583,208,4.5,"2017/01/01","2017/08/31"
"2017/08/31","北海道","上磯郡木古内町",4431,348,7.9,"2017/01/01","2017/08/31"
"2017/08/31","北海道","亀田郡七飯町",28574,2300,8.0,"2017/01/01","2017/08/31"
"2017/08/31","北海道","茅部郡鹿部町",4082,319,7.8,"2017/01/01","2017/08/31"
"2017/08/31","北海道","茅部郡森町",16255,1023,6.3,"2017/01/01","2017/08/31"
"2017/08/31","北海道","二海郡八雲町",17277,1288,7.5,"2017/01/01","2017/08/31"
"2017/08/31","北海道","山越郡長万部町",5625,406,7.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","檜山郡江差町",8084,607,7.5,"2017/01/01","2017/08/31"
"2017/08/31","北海道","檜山郡上ノ国町",5131,353,6.9,"2017/01/01","2017/08/31"
"2017/08/31","北海道","檜山郡厚沢部町",4111,286,7.0,"2017/01/01","2017/08/31"
"2017/08/31","北海道","爾志郡乙部町",3919,160,4.1,"2017/01/01","2017/08/31"
"2017/08/31","北海道","奥尻郡奥尻町",2795,213,7.6,"2017/01/01","2017/08/31"
"2017/08/31","北海道","瀬棚郡今金町",5544,546,9.8,"2017/01/01","2017/08/31"
"2017/08/31","北海道","久遠郡せたな町",8453,460,5.4,"2017/01/01","2017/08/31"
"2017/08/31","北海道","寿都郡寿都町",3094,298,9.6,"2017/01/01","2017/08/31"
"2017/08/31","北海道","寿都郡黒松内町",2977,192,6.4,"2017/01/01","2017/08/31"
"2017/08/31","北海道","磯谷郡蘭越町",4889,364,7.4,"2017/01/01","2017/08/31"
"2017/08/31","北海道","虻田郡ニセコ町",5142,367,7.1,"2017/01/01","2017/08/31"
"2017/08/31","北海道","虻田郡真狩村",2095,147,7.0,"2017/01/01","2017/08/31"
"2017/08/31","北海道","虻田郡留寿都村",1974,181,9.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","虻田郡喜茂別町",2256,135,6.0,"2017/01/01","2017/08/31"
"2017/08/31","北海道","虻田郡京極町",3119,192,6.2,"2017/01/01","2017/08/31"
"2017/08/31","北海道","虻田郡倶知安町",16469,1303,7.9,"2017/01/01","2017/08/31"
