"都道府県名","市区町村名","総数（人口）","交付枚数","交付率","人口算出基準日","交付件数基準日"
"北海道","札幌市",1941832,144447,7.4,"2016/01/01","2017/03/08"
"北海道","函館市",268617,19845,7.4,"2016/01/01","2017/03/08"
"北海道","⼩樽市",122927,9684,7.9,"2016/01/01","2017/03/08"
"北海道","旭川市",345288,21853,6.3,"2016/01/01","2017/03/08"
"北海道","室蘭市",88618,8488,9.6,"2016/01/01","2017/03/08"
"北海道","釧路市",176576,13131,7.4,"2016/01/01","2017/03/08"
"北海道","帯広市",168539,12190,7.2,"2016/01/01","2017/03/08"
"北海道","北⾒市",121048,10109,8.4,"2016/01/01","2017/03/08"
"北海道","⼣張市",9056,914,10.1,"2016/01/01","2017/03/08"
"北海道","岩⾒沢市",84809,6669,7.9,"2016/01/01","2017/03/08"
"北海道","網⾛市",37352,3149,8.4,"2016/01/01","2017/03/08"
"北海道","留萌市",22503,1720,7.6,"2016/01/01","2017/03/08"
"北海道","苫⼩牧市",173794,15335,8.8,"2016/01/01","2017/03/08"
"北海道","稚内市",36184,3289,9.1,"2016/01/01","2017/03/08"
"北海道","美唄市",23390,1755,7.5,"2016/01/01","2017/03/08"
"北海道","芦別市",14974,1388,9.3,"2016/01/01","2017/03/08"
"北海道","江別市",119517,8168,6.8,"2016/01/01","2017/03/08"
"北海道","⾚平市",11029,1095,9.9,"2016/01/01","2017/03/08"
"北海道","紋別市",23277,1314,5.6,"2016/01/01","2017/03/08"
"北海道","⼠別市",20216,1560,7.7,"2016/01/01","2017/03/08"
"北海道","名寄市",28633,2408,8.4,"2016/01/01","2017/03/08"
"北海道","三笠市",9246,850,9.2,"2016/01/01","2017/03/08"
"北海道","根室市",27629,1670,6.0,"2016/01/01","2017/03/08"
"北海道","千歳市",95923,9580,10.0,"2016/01/01","2017/03/08"
"北海道","滝川市",41560,3547,8.5,"2016/01/01","2017/03/08"
"北海道","砂川市",17792,1515,8.5,"2016/01/01","2017/03/08"
"北海道","歌志内市",3664,302,8.2,"2016/01/01","2017/03/08"
"北海道","深川市",21911,1461,6.7,"2016/01/01","2017/03/08"
"北海道","富良野市",22975,2163,9.4,"2016/01/01","2017/03/08"
"北海道","登別市",50101,4226,8.4,"2016/01/01","2017/03/08"
"北海道","恵庭市",69073,6064,8.8,"2016/01/01","2017/03/08"
"北海道","伊達市",35551,2828,8.0,"2016/01/01","2017/03/08"
"北海道","北広島市",59348,4342,7.3,"2016/01/01","2017/03/08"
"北海道","⽯狩市",59202,4436,7.5,"2016/01/01","2017/03/08"
"北海道","北⽃市",47603,2822,5.9,"2016/01/01","2017/03/08"
"北海道","⽯狩郡当別町",16932,1408,8.3,"2016/01/01","2017/03/08"
"北海道","⽯狩郡新篠津村",3287,181,5.5,"2016/01/01","2017/03/08"
"北海道","松前郡松前町",8035,692,8.6,"2016/01/01","2017/03/08"
"北海道","松前郡福島町",4526,270,6.0,"2016/01/01","2017/03/08"
"北海道","上磯郡知内町",4683,184,3.9,"2016/01/01","2017/03/08"
"北海道","上磯郡⽊古内町",4544,318,7.0,"2016/01/01","2017/03/08"
"北海道","⻲⽥郡七飯町",28580,2052,7.2,"2016/01/01","2017/03/08"
"北海道","茅部郡⿅部町",4135,304,7.4,"2016/01/01","2017/03/08"
"北海道","茅部郡森町",16592,907,5.5,"2016/01/01","2017/03/08"
"北海道","⼆海郡⼋雲町",17513,1212,6.9,"2016/01/01","2017/03/08"
"北海道","⼭越郡⻑万部町",5913,380,6.4,"2016/01/01","2017/03/08"
