"都道府県名","市区町村名","総数（人口）
【H30.1.1時点】","交付枚数
【H31.4.1時点】","人口に対する
交付枚数率"
"全国","",127707259,16566976,13.0
"北海道","札幌市",1952348,217749,11.2
"北海道","函館市",262519,26147,10.0
"北海道","小樽市",118948,13303,11.2
"北海道","旭川市",340211,31544,9.3
"北海道","室蘭市",85807,11149,13.0
"北海道","釧路市",172391,20024,11.6
"北海道","帯広市",167653,16183,9.7
"北海道","北見市",118787,13370,11.3
"北海道","夕張市",8362,1062,12.7
"北海道","岩見沢市",82823,9195,11.1
"北海道","網走市",36322,4035,11.1
"北海道","留萌市",21757,2267,10.4
"北海道","苫小牧市",172373,23439,13.6
"北海道","稚内市",34834,4539,13.0
"北海道","美唄市",22211,2278,10.3
"北海道","芦別市",14014,1700,12.1
"北海道","江別市",118999,11445,9.6
"北海道","赤平市",10464,1448,13.8
"北海道","紋別市",22527,1763,7.8
"北海道","士別市",19348,2025,10.5
"北海道","名寄市",27909,2971,10.6
"北海道","三笠市",8784,1092,12.4
"北海道","根室市",26399,2235,8.5
"北海道","千歳市",96841,14182,14.6
"北海道","滝川市",40843,4548,11.1
"北海道","砂川市",17364,1958,11.3
"北海道","歌志内市",3408,404,11.9
"北海道","深川市",21237,1846,8.7
"北海道","富良野市",22284,2666,12.0
"北海道","登別市",48852,5826,11.9
"北海道","恵庭市",69521,9243,13.3
"北海道","伊達市",34772,3539,10.2
"北海道","北広島市",58828,6046,10.3
"北海道","石狩市",58502,6855,11.7
"北海道","北斗市",46829,3927,8.4
"北海道","石狩郡当別町",16365,1864,11.4
"北海道","石狩郡新篠津村",3173,217,6.8
"北海道","松前郡松前町",7539,884,11.7
"北海道","松前郡福島町",4232,324,7.7
"北海道","上磯郡知内町",4475,291,6.5
"北海道","上磯郡木古内町",4288,460,10.7
"北海道","亀田郡七飯町",28563,2791,9.8
"北海道","茅部郡鹿部町",4009,380,9.5
"北海道","茅部郡森町",15892,1252,7.9
"北海道","二海郡八雲町",16960,1491,8.8
"北海道","山越郡長万部町",5517,495,9.0
"北海道","檜山郡江差町",7895,712,9.0
"北海道","檜山郡上ノ国町",4988,450,9.0
"北海道","檜山郡厚沢部町",3992,326,8.2
"北海道","爾志郡乙部町",3833,196,5.1
"北海道","奥尻郡奥尻町",2742,263,9.6
"北海道","瀬棚郡今金町",5475,693,12.7
"北海道","久遠郡せたな町",8195,557,6.8
"北海道","島牧郡島牧村",1517,160,10.5
"北海道","寿都郡寿都町",3048,353,11.6
"北海道","寿都郡黒松内町",2904,236,8.1
"北海道","磯谷郡蘭越町",4767,441,9.3
"北海道","虻田郡ニセコ町",5203,457,8.8
"北海道","虻田郡真狩村",2088,174,8.3
"北海道","虻田郡留寿都村",2049,217,10.6
"北海道","虻田郡喜茂別町",2248,149,6.6
"北海道","虻田郡京極町",3080,230,7.5
"北海道","虻田郡倶知安町",16432,1620,9.9
"北海道","岩内郡共和町",6034,726,12.0
"北海道","岩内郡岩内町",12931,1380,10.7
"北海道","古宇郡泊村",1671,194,11.6
"北海道","古宇郡神恵内村",893,83,9.3
"北海道","積丹郡積丹町",2121,204,9.6
"北海道","古平郡古平町",3185,257,8.1
"北海道","余市郡仁木町",3386,309,9.1
"北海道","余市郡余市町",19238,1730,9.0
"北海道","余市郡赤井川村",1262,117,9.3
"北海道","空知郡南幌町",7687,946,12.3
"北海道","空知郡奈井江町",5527,808,14.6
"北海道","空知郡上砂川町",3125,393,12.6
"北海道","夕張郡由仁町",5281,646,12.2
"北海道","夕張郡長沼町",11042,1374,12.4
