"公開日","都道府県名","市区町村名","総数(人口)","交付枚数","交付率","人口算出基準日","交付件数基準日"
"2018/12/01","北海道","札幌市",1952348,205380,10.5,"2018/01/01","2018/12/01"
"2018/12/01","北海道","函館市",262519,25242,9.6,"2018/01/01","2018/12/01"
"2018/12/01","北海道","小樽市",118948,12814,10.8,"2018/01/01","2018/12/01"
"2018/12/01","北海道","旭川市",340211,29453,8.7,"2018/01/01","2018/12/01"
"2018/12/01","北海道","室蘭市",85807,10685,12.5,"2018/01/01","2018/12/01"
"2018/12/01","北海道","釧路市",172391,18997,11.0,"2018/01/01","2018/12/01"
"2018/12/01","北海道","帯広市",167653,15509,9.3,"2018/01/01","2018/12/01"
"2018/12/01","北海道","北見市",118787,12809,10.8,"2018/01/01","2018/12/01"
"2018/12/01","北海道","夕張市",8362,1055,12.6,"2018/01/01","2018/12/01"
"2018/12/01","北海道","岩見沢市",82823,8850,10.7,"2018/01/01","2018/12/01"
"2018/12/01","北海道","網走市",36322,3919,10.8,"2018/01/01","2018/12/01"
"2018/12/01","北海道","留萌市",21757,2191,10.1,"2018/01/01","2018/12/01"
"2018/12/01","北海道","苫小牧市",172373,21634,12.6,"2018/01/01","2018/12/01"
"2018/12/01","北海道","稚内市",34834,4359,12.5,"2018/01/01","2018/12/01"
"2018/12/01","北海道","美唄市",22211,2216,10.0,"2018/01/01","2018/12/01"
"2018/12/01","北海道","芦別市",14014,1672,11.9,"2018/01/01","2018/12/01"
"2018/12/01","北海道","江別市",118999,10977,9.2,"2018/01/01","2018/12/01"
"2018/12/01","北海道","赤平市",10464,1397,13.4,"2018/01/01","2018/12/01"
"2018/12/01","北海道","紋別市",22527,1705,7.6,"2018/01/01","2018/12/01"
"2018/12/01","北海道","士別市",19348,1938,10.0,"2018/01/01","2018/12/01"
"2018/12/01","北海道","名寄市",27909,2890,10.4,"2018/01/01","2018/12/01"
"2018/12/01","北海道","三笠市",8784,1063,12.1,"2018/01/01","2018/12/01"
"2018/12/01","北海道","根室市",26399,2151,8.1,"2018/01/01","2018/12/01"
"2018/12/01","北海道","千歳市",96841,13370,13.8,"2018/01/01","2018/12/01"
"2018/12/01","北海道","滝川市",40843,4431,10.8,"2018/01/01","2018/12/01"
"2018/12/01","北海道","砂川市",17364,1909,11.0,"2018/01/01","2018/12/01"
"2018/12/01","北海道","歌志内市",3408,397,11.6,"2018/01/01","2018/12/01"
"2018/12/01","北海道","深川市",21237,1786,8.4,"2018/01/01","2018/12/01"
"2018/12/01","北海道","富良野市",22284,2574,11.6,"2018/01/01","2018/12/01"
