"都道府県名","市区町村名","総数（人口）
【H30.1.1時点】","交付枚数
【H30.7.1時点】","交付率"
"全国","",127707259,14672462,11.5
"北海道","札幌市",1952348,191036,9.8
"北海道","函館市",262519,24162,9.2
"北海道","小樽市",118948,12271,10.3
"北海道","旭川市",340211,27875,8.2
"北海道","室蘭市",85807,10279,12.0
"北海道","釧路市",172391,17544,10.2
"北海道","帯広市",167653,14984,8.9
"北海道","北見市",118787,12265,10.3
"北海道","夕張市",8362,1034,12.4
"北海道","岩見沢市",82823,8430,10.2
"北海道","網走市",36322,3797,10.5
"北海道","留萌市",21757,2100,9.7
"北海道","苫小牧市",172373,19905,11.5
"北海道","稚内市",34834,4178,12.0
"北海道","美唄市",22211,2150,9.7
"北海道","芦別市",14014,1625,11.6
"北海道","江別市",118999,10468,8.8
"北海道","赤平市",10464,1359,13.0
"北海道","紋別市",22527,1661,7.4
"北海道","士別市",19348,1877,9.7
"北海道","名寄市",27909,2810,10.1
"北海道","三笠市",8784,1034,11.8
"北海道","根室市",26399,2069,7.8
"北海道","千歳市",96841,12397,12.8
"北海道","滝川市",40843,4296,10.5
"北海道","砂川市",17364,1850,10.7
"北海道","歌志内市",3408,377,11.1
"北海道","深川市",21237,1751,8.2
"北海道","富良野市",22284,2510,11.3
"北海道","登別市",48852,5124,10.5
"北海道","恵庭市",69521,8136,11.7
"北海道","伊達市",34772,3276,9.4
"北海道","北広島市",58828,5575,9.5
"北海道","石狩市",58502,6156,10.5
"北海道","北斗市",46829,3662,7.8
"北海道","石狩郡当別町",16365,1734,10.6
"北海道","石狩郡新篠津村",3173,208,6.6
"北海道","松前郡松前町",7539,819,10.9
"北海道","松前郡福島町",4232,310,7.3
"北海道","上磯郡知内町",4475,277,6.2
"北海道","上磯郡木古内町",4288,413,9.6
"北海道","亀田郡七飯町",28563,2574,9.0
"北海道","茅部郡鹿部町",4009,349,8.7
"北海道","茅部郡森町",15892,1159,7.3
"北海道","二海郡八雲町",16960,1382,8.1
"北海道","山越郡長万部町",5517,465,8.4
"北海道","檜山郡江差町",7895,663,8.4
"北海道","檜山郡上ノ国町",4988,413,8.3
"北海道","檜山郡厚沢部町",3992,306,7.7
"北海道","爾志郡乙部町",3833,175,4.6
"北海道","奥尻郡奥尻町",2742,241,8.8
"北海道","瀬棚郡今金町",5475,639,11.7
"北海道","久遠郡せたな町",8195,520,6.3
"北海道","島牧郡島牧村",1517,151,10.0
