"都道府県名","市区町村名","総数（人口）
【H31.1.1時点】","交付枚数
【R2.6.1時点】","人口に対する
交付枚数率"
"全国","",127443563,21355669,16.8
"北海道","札幌市",1955457,283377,14.5
"北海道","函館市",258948,34684,13.4
"北海道","小樽市",116529,16594,14.2
"北海道","旭川市",337392,43274,12.8
"北海道","室蘭市",84405,14144,16.8
"北海道","釧路市",170364,27261,16.0
"北海道","帯広市",166889,20621,12.4
"北海道","北見市",117806,17284,14.7
"北海道","夕張市",8087,1217,15.0
"北海道","岩見沢市",81778,12348,15.1
"北海道","網走市",35704,5138,14.4
"北海道","留萌市",21310,3080,14.5
"北海道","苫小牧市",171811,29570,17.2
"北海道","稚内市",34249,5884,17.2
"北海道","美唄市",21602,3324,15.4
"北海道","芦別市",13635,2085,15.3
"北海道","江別市",118985,15756,13.2
"北海道","赤平市",10186,1759,17.3
"北海道","紋別市",22044,2211,10.0
"北海道","士別市",18965,2463,13.0
"北海道","名寄市",27582,5031,18.2
"北海道","三笠市",8562,1504,17.6
"北海道","根室市",25953,2849,11.0
"北海道","千歳市",97061,22919,23.6
"北海道","滝川市",40365,6100,15.1
"北海道","砂川市",17137,3256,19.0
"北海道","歌志内市",3275,482,14.7
"北海道","深川市",20804,2296,11.0
"北海道","富良野市",21921,3354,15.3
"北海道","登別市",48395,7621,15.7
"北海道","恵庭市",69850,13510,19.3
"北海道","伊達市",34365,4382,12.8
"北海道","北広島市",58630,7950,13.6
"北海道","石狩市",58345,8390,14.4
"北海道","北斗市",46487,4864,10.5
"北海道","石狩郡当別町",16061,2326,14.5
"北海道","石狩郡新篠津村",3101,279,9.0
"北海道","松前郡松前町",7257,1176,16.2
"北海道","松前郡福島町",4107,389,9.5
"北海道","上磯郡知内町",4388,405,9.2
"北海道","上磯郡木古内町",4176,577,13.8
"北海道","亀田郡七飯町",28288,3376,11.9
"北海道","茅部郡鹿部町",3961,654,16.5
"北海道","茅部郡森町",15575,2081,13.4
"北海道","二海郡八雲町",16685,2051,12.3
"北海道","山越郡長万部町",5493,619,11.3
"北海道","檜山郡江差町",7732,975,12.6
"北海道","檜山郡上ノ国町",4851,541,11.2
"北海道","檜山郡厚沢部町",3880,395,10.2
