"都道府県名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","人口に対する
交付枚数率"
"北海道",5370807,472271,8.8
"青森県",1323861,124297,9.4
"岩手県",1277271,118629,9.3
"宮城県",2319438,226178,9.8
"秋田県",1029196,81155,7.9
"山形県",1118468,79107,7.1
"福島県",1938559,173550,9.0
"茨城県",2960458,297132,10.0
"栃木県",1991597,178366,9.0
"群馬県",1998275,169516,8.5
"埼玉県",7343807,753862,10.3
"千葉県",6283602,725973,11.6
"東京都",13530053,1739811,12.9
"神奈川県",9155389,1181533,12.9
"新潟県",2300923,170300,7.4
"富山県",1074705,98039,9.1
"石川県",1153627,92230,8.0
"福井県",794433,53888,6.8
"山梨県",844717,70555,8.4
"長野県",2126064,177428,8.3
"岐阜県",2066266,159550,7.7
"静岡県",3756865,357218,9.5
"愛知県",7532231,698305,9.3
"三重県",1841753,149251,8.1
"滋賀県",1420260,136956,9.6
"京都府",2569410,256818,10.0
"大阪府",8861437,992844,11.2
"兵庫県",5606545,659271,11.8
"奈良県",1380181,162934,11.8
"和歌山県",984689,77282,7.8
"鳥取県",575264,48207,8.4
"島根県",696382,63435,9.1
"岡山県",1927632,164297,8.5
"広島県",2857475,294790,10.3
"山口県",1408588,143491,10.2
"徳島県",764213,62463,8.2
"香川県",997811,83929,8.4
"愛媛県",1405325,114975,8.2
"高知県",732535,46100,6.3
"福岡県",5126389,457365,8.9
"佐賀県",837977,67898,8.1
"長崎県",1392950,138621,10.0
"熊本県",1798149,167731,9.3
"大分県",1176891,105549,9.0
"宮崎県",1119544,149277,13.3
"鹿児島県",1668003,156408,9.4
"沖縄県",1467071,110352,7.5
