"都道府県名","総数（人口）
【H31.1.1時点】","交付枚数
【R元.11.1時点】","人口に対する
交付枚数率"
"北海道",5304413,628044,11.8
"青森県",1292709,160767,12.4
"岩手県",1250142,158546,12.7
"宮城県",2303098,311581,13.5
"秋田県",1000223,111037,11.1
"山形県",1095383,111691,10.2
"福島県",1901053,236616,12.4
"茨城県",2936184,405928,13.8
"栃木県",1976121,261351,13.2
"群馬県",1981202,225505,11.4
"埼玉県",7377288,1030892,14.0
"千葉県",6311190,978070,15.5
"東京都",13740732,2619140,19.1
"神奈川県",9189521,1653283,18.0
"新潟県",2259309,227046,10.0
"富山県",1063293,125138,11.8
"石川県",1145948,121437,10.6
"福井県",786503,76301,9.7
"山梨県",832769,97794,11.7
"長野県",2101891,242510,11.5
"岐阜県",2044114,209861,10.3
"静岡県",3726537,491547,13.2
"愛知県",7565309,934649,12.4
"三重県",1824637,218600,12.0
"滋賀県",1420080,204898,14.4
"京都府",2555068,361792,14.2
"大阪府",8848998,1429799,16.2
"兵庫県",5570618,934653,16.8
"奈良県",1362781,230422,16.9
"和歌山県",964598,109437,11.3
"鳥取県",566052,64689,11.4
"島根県",686126,87300,12.7
"岡山県",1911722,221686,11.6
"広島県",2838632,378432,13.3
"山口県",1383079,194324,14.1
"徳島県",750519,85720,11.4
"香川県",987336,112463,11.4
"愛媛県",1381761,160177,11.6
"高知県",717480,58752,8.2
"福岡県",5131305,647715,12.6
"佐賀県",828781,100165,12.1
"長崎県",1365391,205090,15.0
"熊本県",1780079,253822,14.3
"大分県",1160218,155187,13.4
"宮崎県",1103755,215283,19.5
"鹿児島県",1643437,209802,12.8
"沖縄県",1476178,175000,11.9
