"都道府県名","総数（人口）
【H30.1.1時点】","交付枚数
【H31.41時点】","人口に対する
交付枚数率"
"北海道",5339539,574695,10.8
"青森県",1308707,148477,11.3
"岩手県",1264329,146390,11.6
"宮城県",2312080,279791,12.1
"秋田県",1015057,100465,9.9
"山形県",1106984,101926,9.2
"福島県",1919680,217249,11.3
"茨城県",2951087,371335,12.6
"栃木県",1985738,235821,11.9
"群馬県",1990584,206744,10.4
"埼玉県",7363011,941438,12.8
"千葉県",6298992,896477,14.2
"東京都",13637346,2354528,17.3
"神奈川県",9171274,1507574,16.4
"新潟県",2281291,209440,9.2
"富山県",1069512,116434,10.9
"石川県",1150398,111776,9.7
"福井県",790758,67913,8.6
"山梨県",838823,88153,10.5
"長野県",2114140,221914,10.5
"岐阜県",2054349,192673,9.4
"静岡県",3743015,446928,11.9
"愛知県",7551840,861315,11.4
"三重県",1834269,198526,10.8
"滋賀県",1419635,185201,13.0
"京都府",2563152,329184,12.8
"大阪府",8856444,1289175,14.6
"兵庫県",5589708,839203,15.0
"奈良県",1371700,210021,15.3
"和歌山県",975074,96103,9.9
"鳥取県",570824,58510,10.3
"島根県",691225,79948,11.6
"岡山県",1920619,203526,10.6
"広島県",2848846,352363,12.4
"山口県",1396197,179276,12.8
"徳島県",757377,78526,10.4
"香川県",993205,103587,10.4
"愛媛県",1394339,145216,10.4
"高知県",725289,54165,7.5
"福岡県",5130773,582201,11.3
"佐賀県",833272,90404,10.8
"長崎県",1379003,185908,13.5
"熊本県",1789184,223096,12.5
"大分県",1169158,139193,11.9
"宮崎県",1112008,196187,17.6
"鹿児島県",1655888,192689,11.6
"沖縄県",1471536,155312,10.6
