"都道府県名","総数（人口）
【H28.1.1時点】","交付枚数
【H29.3.8時点】","人口に対する
交付枚数率"
"北海道",5401210,404742,7.5
"青森県",1338465,106335,7.9
"岩手県",1289470,102734,8.0
"宮城県",2324466,191333,8.2
"秋田県",1043015,70934,6.8
"山形県",1129560,67050,5.9
"福島県",1953699,149382,7.6
"茨城県",2970231,249233,8.4
"栃木県",1998864,151105,7.6
"群馬県",2005320,146467,7.3
"埼玉県",7323413,630483,8.6
"千葉県",6265899,600931,9.6
"東京都",13415349,1341882,10.0
"神奈川県",9136151,954473,10.4
"新潟県",2319435,146401,6.3
"富山県",1080160,84727,7.8
"石川県",1157042,79447,6.9
"福井県",799220,44693,5.6
"山梨県",849784,59910,7.1
"長野県",2137666,146825,6.9
"岐阜県",2076195,136168,6.6
"静岡県",3770619,303139,8.0
"愛知県",7509636,590188,7.9
"三重県",1850028,120802,6.5
"滋賀県",1419863,107151,7.5
"京都府",2574842,213733,8.3
"大阪府",8865502,805189,9.1
"兵庫県",5621087,538648,9.6
"奈良県",1387818,135941,9.8
"和歌山県",994317,65121,6.5
"鳥取県",579309,41797,7.2
"島根県",701394,53037,7.6
"岡山県",1933781,141334,7.3
"広島県",2863211,253758,8.9
"山口県",1419781,122241,8.6
"徳島県",770057,51985,6.8
"香川県",1002173,71482,7.1
"愛媛県",1415997,98498,7.0
"高知県",740059,39748,5.4
"福岡県",5122448,372146,7.3
"佐賀県",842457,54928,6.5
"長崎県",1404103,110344,7.9
"熊本県",1810343,139793,7.7
"大分県",1183961,88913,7.5
"宮崎県",1128078,116620,10.3
"鹿児島県",1679502,131786,7.8
"沖縄県",1461231,84342,5.8
