"都道府県名","総数（人口）
【H28.1.1時点】","交付枚数
【H29.5.15時点】","人口に対する
交付枚数率"
"北海道",5401210,428331,7.9
"青森県",1338465,112751,8.4
"岩手県",1289470,108251,8.4
"宮城県",2324466,203153,8.7
"秋田県",1043015,74947,7.2
"山形県",1129560,70970,6.3
"福島県",1953699,157860,8.1
"茨城県",2970231,265585,8.9
"栃木県",1998864,160843,8.0
"群馬県",2005320,154982,7.7
"埼玉県",7323413,670068,9.1
"千葉県",6265899,646607,10.3
"東京都",13415349,1467251,10.9
"神奈川県",9136151,1024482,11.2
"新潟県",2319435,154462,6.7
"富山県",1080160,89874,8.3
"石川県",1157042,83853,7.2
"福井県",799220,47432,5.9
"山梨県",849784,63922,7.5
"長野県",2137666,158053,7.4
"岐阜県",2076195,144546,7.0
"静岡県",3770619,321234,8.5
"愛知県",7509636,626638,8.3
"三重県",1850028,129009,7.0
"滋賀県",1419863,116331,8.2
"京都府",2574842,227903,8.9
"大阪府",8865502,865157,9.8
"兵庫県",5621087,579800,10.3
"奈良県",1387818,146121,10.5
"和歌山県",994317,69646,7.0
"鳥取県",579309,44033,7.6
"島根県",701394,56122,8.0
"岡山県",1933781,149436,7.7
"広島県",2863211,267532,9.3
"山口県",1419781,129484,9.1
"徳島県",770057,55474,7.2
"香川県",1002173,75019,7.5
"愛媛県",1415997,103897,7.3
"高知県",740059,41960,5.7
"福岡県",5122448,399052,7.8
"佐賀県",842457,59423,7.1
"長崎県",1404103,119089,8.5
"熊本県",1810343,148498,8.2
"大分県",1183961,94795,8.0
"宮崎県",1128078,127407,11.3
"鹿児島県",1679502,139807,8.3
"沖縄県",1461231,93385,6.4
