"都道府県名","総数（人口）
【H30.1.1時点】","交付枚数
【H30.7.1時点】","人口に対する
交付枚数率"
"北海道",5339539,516422,9.7
"青森県",1308707,136748,10.4
"岩手県",1264329,131824,10.4
"宮城県",2312080,250449,10.8
"秋田県",1015057,89406,8.8
"山形県",1106984,90051,8.1
"福島県",1919680,194446,10.1
"茨城県",2951087,333006,11.3
"栃木県",1985738,205765,10.4
"群馬県",1990584,188638,9.5
"埼玉県",7363011,839644,11.4
"千葉県",6298992,805876,12.8
"東京都",13637346,2028171,14.9
"神奈川県",9171274,1333292,14.5
"新潟県",2281291,189124,8.3
"富山県",1069512,106405,9.9
"石川県",1150398,101718,8.8
"福井県",790758,60813,7.7
"山梨県",838823,78926,9.4
"長野県",2114140,197944,9.4
"岐阜県",2054349,175215,8.5
"静岡県",3743015,397145,10.6
"愛知県",7551840,775217,10.3
"三重県",1834269,173064,9.4
"滋賀県",1419635,158596,11.2
"京都府",2563152,289933,11.3
"大阪府",8856444,1133565,12.8
"兵庫県",5589708,742566,13.3
"奈良県",1371700,183436,13.4
"和歌山県",975074,86166,8.8
"鳥取県",570824,53238,9.3
"島根県",691225,71629,10.4
"岡山県",1920619,183026,9.5
"広島県",2848846,323704,11.4
"山口県",1396197,160476,11.5
"徳島県",757377,70162,9.3
"香川県",993205,93357,9.4
"愛媛県",1394339,129590,9.3
"高知県",725289,50020,6.9
"福岡県",5130773,512611,10.0
"佐賀県",833272,78722,9.4
"長崎県",1379003,161054,11.7
"熊本県",1789184,194675,10.9
"大分県",1169158,117600,10.1
"宮崎県",1112008,172662,15.5
"鹿児島県",1655888,173808,10.5
"沖縄県",1471536,132557,9.0
