"公開日","都道府県名","総数（人口）","交付枚数","交付率","人口算出基準日","交付件数基準日"
"2019/09/16","青森県",1292709,157300,12.2,"2019/01/01","2019/09/16"
"2019/09/16","岩手県",1250142,155842,12.5,"2019/01/01","2019/09/16"
"2019/09/16","宮城県",2303098,303480,13.2,"2019/01/01","2019/09/16"
"2019/09/16","秋田県",1000223,107131,10.7,"2019/01/01","2019/09/16"
"2019/09/16","山形県",1095383,109449,10.0,"2019/01/01","2019/09/16"
"2019/09/16","福島県",1901053,231196,12.2,"2019/01/01","2019/09/16"
"2019/09/16","茨城県",2936184,398089,13.6,"2019/01/01","2019/09/16"
"2019/09/16","栃木県",1976121,255584,12.9,"2019/01/01","2019/09/16"
"2019/09/16","群馬県",1981202,219415,11.1,"2019/01/01","2019/09/16"
"2019/09/16","埼玉県",7377288,1011111,13.7,"2019/01/01","2019/09/16"
"2019/09/16","千葉県",6311190,959197,15.2,"2019/01/01","2019/09/16"
"2019/09/16","東京都",13740732,2566041,18.7,"2019/01/01","2019/09/16"
"2019/09/16","神奈川県",9189521,1622336,17.7,"2019/01/01","2019/09/16"
"2019/09/16","新潟県",2259309,222616,9.9,"2019/01/01","2019/09/16"
"2019/09/16","富山県",1063293,122284,11.5,"2019/01/01","2019/09/16"
"2019/09/16","石川県",1145948,118464,10.3,"2019/01/01","2019/09/16"
"2019/09/16","福井県",786503,72778,9.3,"2019/01/01","2019/09/16"
"2019/09/16","山梨県",832769,95119,11.4,"2019/01/01","2019/09/16"
"2019/09/16","長野県",2101891,236885,11.3,"2019/01/01","2019/09/16"
"2019/09/16","岐阜県",2044114,204713,10.0,"2019/01/01","2019/09/16"
"2019/09/16","静岡県",3726537,477996,12.8,"2019/01/01","2019/09/16"
"2019/09/16","愛知県",7565309,916258,12.1,"2019/01/01","2019/09/16"
"2019/09/16","三重県",1824637,213326,11.7,"2019/01/01","2019/09/16"
"2019/09/16","京都府",2555068,354008,13.9,"2019/01/01","2019/09/16"
"2019/09/16","大阪府",8848998,1399411,15.8,"2019/01/01","2019/09/16"
"2019/09/16","兵庫県",5570618,913126,16.4,"2019/01/01","2019/09/16"
"2019/09/16","奈良県",1362781,226237,16.6,"2019/01/01","2019/09/16"
"2019/09/16","和歌山県",964598,105702,11.0,"2019/01/01","2019/09/16"
"2019/09/16","鳥取県",566052,62615,11.1,"2019/01/01","2019/09/16"
"2019/09/16","島根県",686126,85395,12.4,"2019/01/01","2019/09/16"
"2019/09/16","岡山県",1911722,216965,11.3,"2019/01/01","2019/09/16"
"2019/09/16","広島県",2838632,371363,13.1,"2019/01/01","2019/09/16"
"2019/09/16","山口県",1383079,190193,13.8,"2019/01/01","2019/09/16"
"2019/09/16","徳島県",750519,83812,11.2,"2019/01/01","2019/09/16"
"2019/09/16","香川県",987336,109994,11.1,"2019/01/01","2019/09/16"
"2019/09/16","愛媛県",1381761,154696,11.2,"2019/01/01","2019/09/16"
"2019/09/16","高知県",717480,57170,8.0,"2019/01/01","2019/09/16"
"2019/09/16","福岡県",5131305,631261,12.3,"2019/01/01","2019/09/16"
"2019/09/16","佐賀県",828781,97364,11.7,"2019/01/01","2019/09/16"
"2019/09/16","長崎県",1365391,200017,14.6,"2019/01/01","2019/09/16"
"2019/09/16","熊本県",1780079,246026,13.8,"2019/01/01","2019/09/16"
"2019/09/16","大分県",1160218,151063,13.0,"2019/01/01","2019/09/16"
"2019/09/16","宮崎県",1103755,210493,19.1,"2019/01/01","2019/09/16"
"2019/09/16","鹿児島県",1643437,205351,12.5,"2019/01/01","2019/09/16"
"2019/09/16","沖縄県",1476178,170598,11.6,"2019/01/01","2019/09/16"
