"都道府県名","総数（人口）
【H29.1.1時点】","交付枚数
【H30.3.1時点】","人口に対する
交付枚数率"
"北海道",5370807,489505,9.1
"青森県",1323861,129748,9.8
"岩手県",1277271,123958,9.7
"宮城県",2319438,235924,10.2
"秋田県",1029196,84932,8.3
"山形県",1118468,83195,7.4
"福島県",1938559,180885,9.3
"茨城県",2960458,311948,10.5
"栃木県",1991597,188229,9.5
"群馬県",1998275,177086,8.9
"埼玉県",7343807,787512,10.7
"千葉県",6283602,756810,12.0
"東京都",13530053,1858491,13.7
"神奈川県",9155389,1245120,13.6
"新潟県",2300923,177427,7.7
"富山県",1074705,101512,9.4
"石川県",1153627,95969,8.3
"福井県",794433,56985,7.2
"山梨県",844717,74074,8.8
"長野県",2126064,185970,8.7
"岐阜県",2066266,166102,8.0
"静岡県",3756865,374042,10.0
"愛知県",7532231,730082,9.7
"三重県",1841753,158822,8.6
"滋賀県",1420260,144819,10.2
"京都府",2569410,269109,10.5
"大阪府",8861437,1047305,11.8
"兵庫県",5606545,689454,12.3
"奈良県",1380181,170696,12.4
"和歌山県",984689,81132,8.2
"鳥取県",575264,50036,8.7
"島根県",696382,67065,9.6
"岡山県",1927632,171273,8.9
"広島県",2857475,306940,10.7
"山口県",1408588,150483,10.7
"徳島県",764213,65628,8.6
"香川県",997811,87486,8.8
"愛媛県",1405325,121084,8.6
"高知県",732535,47637,6.5
"福岡県",5126389,478795,9.3
"佐賀県",837977,72527,8.7
"長崎県",1392950,147892,10.6
"熊本県",1798149,178431,9.9
"大分県",1176891,110588,9.4
"宮崎県",1119544,158074,14.1
"鹿児島県",1668003,163091,9.8
"沖縄県",1467071,118889,8.1
