"公開日","都道府県名","総数（人口）","交付枚数","交付率","人口算出基準日","交付件数基準日"
"2018/03/01","青森県",1323861,129748,9.8,"2017/01/01","2018/03/01"
"2018/03/01","岩手県",1277271,123958,9.7,"2017/01/01","2018/03/01"
"2018/03/01","宮城県",2319438,235924,10.2,"2017/01/01","2018/03/01"
"2018/03/01","秋田県",1029196,84932,8.3,"2017/01/01","2018/03/01"
"2018/03/01","山形県",1118468,83195,7.4,"2017/01/01","2018/03/01"
"2018/03/01","福島県",1938559,180885,9.3,"2017/01/01","2018/03/01"
"2018/03/01","茨城県",2960458,311948,10.5,"2017/01/01","2018/03/01"
"2018/03/01","栃木県",1991597,188229,9.5,"2017/01/01","2018/03/01"
"2018/03/01","群馬県",1998275,177086,8.9,"2017/01/01","2018/03/01"
"2018/03/01","埼玉県",7343807,787512,10.7,"2017/01/01","2018/03/01"
"2018/03/01","千葉県",6283602,756810,12.0,"2017/01/01","2018/03/01"
"2018/03/01","東京都",13530053,1858491,13.7,"2017/01/01","2018/03/01"
"2018/03/01","神奈川県",9155389,1245120,13.6,"2017/01/01","2018/03/01"
"2018/03/01","新潟県",2300923,177427,7.7,"2017/01/01","2018/03/01"
"2018/03/01","富山県",1074705,101512,9.4,"2017/01/01","2018/03/01"
"2018/03/01","石川県",1153627,95969,8.3,"2017/01/01","2018/03/01"
"2018/03/01","福井県",794433,56985,7.2,"2017/01/01","2018/03/01"
"2018/03/01","山梨県",844717,74074,8.8,"2017/01/01","2018/03/01"
"2018/03/01","長野県",2126064,185970,8.7,"2017/01/01","2018/03/01"
"2018/03/01","岐阜県",2066266,166102,8.0,"2017/01/01","2018/03/01"
"2018/03/01","静岡県",3756865,374042,10.0,"2017/01/01","2018/03/01"
"2018/03/01","愛知県",7532231,730082,9.7,"2017/01/01","2018/03/01"
"2018/03/01","三重県",1841753,158822,8.6,"2017/01/01","2018/03/01"
"2018/03/01","京都府",2569410,269109,10.5,"2017/01/01","2018/03/01"
"2018/03/01","大阪府",8861437,1047305,11.8,"2017/01/01","2018/03/01"
"2018/03/01","兵庫県",5606545,689454,12.3,"2017/01/01","2018/03/01"
"2018/03/01","奈良県",1380181,170696,12.4,"2017/01/01","2018/03/01"
"2018/03/01","和歌山県",984689,81132,8.2,"2017/01/01","2018/03/01"
"2018/03/01","鳥取県",575264,50036,8.7,"2017/01/01","2018/03/01"
"2018/03/01","島根県",696382,67065,9.6,"2017/01/01","2018/03/01"
"2018/03/01","岡山県",1927632,171273,8.9,"2017/01/01","2018/03/01"
"2018/03/01","広島県",2857475,306940,10.7,"2017/01/01","2018/03/01"
"2018/03/01","山口県",1408588,150483,10.7,"2017/01/01","2018/03/01"
"2018/03/01","徳島県",764213,65628,8.6,"2017/01/01","2018/03/01"
"2018/03/01","香川県",997811,87486,8.8,"2017/01/01","2018/03/01"
"2018/03/01","愛媛県",1405325,121084,8.6,"2017/01/01","2018/03/01"
"2018/03/01","高知県",732535,47637,6.5,"2017/01/01","2018/03/01"
"2018/03/01","福岡県",5126389,478795,9.3,"2017/01/01","2018/03/01"
"2018/03/01","佐賀県",837977,72527,8.7,"2017/01/01","2018/03/01"
"2018/03/01","長崎県",1392950,147892,10.6,"2017/01/01","2018/03/01"
"2018/03/01","熊本県",1798149,178431,9.9,"2017/01/01","2018/03/01"
"2018/03/01","大分県",1176891,110588,9.4,"2017/01/01","2018/03/01"
"2018/03/01","宮崎県",1119544,158074,14.1,"2017/01/01","2018/03/01"
"2018/03/01","鹿児島県",1668003,163091,9.8,"2017/01/01","2018/03/01"
"2018/03/01","沖縄県",1467071,118889,8.1,"2017/01/01","2018/03/01"
