"公開日","都道府県名","総数(人口)","交付枚数","交付率","人口算出基準日","交付件数基準日"
"2017/03/08","北海道",5401210,404742,7.5,"2016/01/01","2017/03/08"
"2017/03/08","青森県",1338465,106335,7.9,"2016/01/01","2017/03/08"
"2017/03/08","岩手県",1289470,102734,8.0,"2016/01/01","2017/03/08"
"2017/03/08","宮城県",2324466,191333,8.2,"2016/01/01","2017/03/08"
"2017/03/08","秋田県",1043015,70934,6.8,"2016/01/01","2017/03/08"
"2017/03/08","山形県",1129560,67050,5.9,"2016/01/01","2017/03/08"
"2017/03/08","福島県",1953699,149382,7.6,"2016/01/01","2017/03/08"
"2017/03/08","茨城県",2970231,249233,8.4,"2016/01/01","2017/03/08"
"2017/03/08","栃木県",1998864,151105,7.6,"2016/01/01","2017/03/08"
"2017/03/08","群馬県",2005320,146467,7.3,"2016/01/01","2017/03/08"
"2017/03/08","埼玉県",7323413,630483,8.6,"2016/01/01","2017/03/08"
"2017/03/08","千葉県",6265899,600931,9.6,"2016/01/01","2017/03/08"
"2017/03/08","東京都",13415349,1341882,10.0,"2016/01/01","2017/03/08"
"2017/03/08","神奈川県",9136151,954473,10.4,"2016/01/01","2017/03/08"
"2017/03/08","新潟県",2319435,146401,6.3,"2016/01/01","2017/03/08"
"2017/03/08","富山県",1080160,84727,7.8,"2016/01/01","2017/03/08"
"2017/03/08","石川県",1157042,79447,6.9,"2016/01/01","2017/03/08"
"2017/03/08","福井県",799220,44693,5.6,"2016/01/01","2017/03/08"
"2017/03/08","山梨県",849784,59910,7.1,"2016/01/01","2017/03/08"
"2017/03/08","長野県",2137666,146825,6.9,"2016/01/01","2017/03/08"
"2017/03/08","岐阜県",2076195,136168,6.6,"2016/01/01","2017/03/08"
"2017/03/08","静岡県",3770619,303139,8.0,"2016/01/01","2017/03/08"
"2017/03/08","愛知県",7509636,590188,7.9,"2016/01/01","2017/03/08"
"2017/03/08","三重県",1850028,120802,6.5,"2016/01/01","2017/03/08"
"2017/03/08","滋賀県",1419863,107151,7.5,"2016/01/01","2017/03/08"
"2017/03/08","京都府",2574842,213733,8.3,"2016/01/01","2017/03/08"
"2017/03/08","大阪府",8865502,805189,9.1,"2016/01/01","2017/03/08"
"2017/03/08","兵庫県",5621087,538648,9.6,"2016/01/01","2017/03/08"
"2017/03/08","奈良県",1387818,135941,9.8,"2016/01/01","2017/03/08"
"2017/03/08","和歌山県",994317,65121,6.5,"2016/01/01","2017/03/08"
"2017/03/08","鳥取県",579309,41797,7.2,"2016/01/01","2017/03/08"
"2017/03/08","島根県",701394,53037,7.6,"2016/01/01","2017/03/08"
"2017/03/08","岡山県",1933781,141334,7.3,"2016/01/01","2017/03/08"
"2017/03/08","広島県",2863211,253758,8.9,"2016/01/01","2017/03/08"
"2017/03/08","山口県",1419781,122241,8.6,"2016/01/01","2017/03/08"
"2017/03/08","徳島県",770057,51985,6.8,"2016/01/01","2017/03/08"
"2017/03/08","香川県",1002173,71482,7.1,"2016/01/01","2017/03/08"
"2017/03/08","愛媛県",1415997,98498,7.0,"2016/01/01","2017/03/08"
"2017/03/08","高知県",740059,39748,5.4,"2016/01/01","2017/03/08"
"2017/03/08","福岡県",5122448,372146,7.3,"2016/01/01","2017/03/08"
"2017/03/08","佐賀県",842457,54928,6.5,"2016/01/01","2017/03/08"
"2017/03/08","長崎県",1404103,110344,7.9,"2016/01/01","2017/03/08"
"2017/03/08","熊本県",1810343,139793,7.7,"2016/01/01","2017/03/08"
"2017/03/08","大分県",1183961,88913,7.5,"2016/01/01","2017/03/08"
"2017/03/08","宮崎県",1128078,116620,10.3,"2016/01/01","2017/03/08"
"2017/03/08","鹿児島県",1679502,131786,7.8,"2016/01/01","2017/03/08"
"2017/03/08","沖縄県",1461231,84342,5.8,"2016/01/01","2017/03/08"
