"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日"
"2019/09/16","北海道","札幌市",1955457,235172,12.0,"2019/01/01","2019/09/16"
"2019/09/16","北海道","函館市",258948,27766,10.7,"2019/01/01","2019/09/16"
"2019/09/16","北海道","小樽市",116529,14100,12.1,"2019/01/01","2019/09/16"
"2019/09/16","北海道","旭川市",337392,34223,10.1,"2019/01/01","2019/09/16"
"2019/09/16","北海道","室蘭市",84405,11870,14.1,"2019/01/01","2019/09/16"
"2019/09/16","北海道","釧路市",170364,21973,12.9,"2019/01/01","2019/09/16"
"2019/09/16","北海道","帯広市",166889,17193,10.3,"2019/01/01","2019/09/16"
"2019/09/16","北海道","北見市",117806,14251,12.1,"2019/01/01","2019/09/16"
"2019/09/16","北海道","夕張市",8087,1091,13.5,"2019/01/01","2019/09/16"
"2019/09/16","北海道","岩見沢市",81778,9809,12.0,"2019/01/01","2019/09/16"
"2019/09/16","北海道","網走市",35704,4245,11.9,"2019/01/01","2019/09/16"
"2019/09/16","北海道","留萌市",21310,2409,11.3,"2019/01/01","2019/09/16"
"2019/09/16","北海道","苫小牧市",171811,25369,14.8,"2019/01/01","2019/09/16"
"2019/09/16","北海道","稚内市",34249,4829,14.1,"2019/01/01","2019/09/16"
"2019/09/16","北海道","美唄市",21602,2363,10.9,"2019/01/01","2019/09/16"
"2019/09/16","北海道","芦別市",13635,1759,12.9,"2019/01/01","2019/09/16"
"2019/09/16","北海道","江別市",118985,12227,10.3,"2019/01/01","2019/09/16"
"2019/09/16","北海道","赤平市",10186,1496,14.7,"2019/01/01","2019/09/16"
"2019/09/16","北海道","紋別市",22044,1851,8.4,"2019/01/01","2019/09/16"
"2019/09/16","北海道","士別市",18965,2131,11.2,"2019/01/01","2019/09/16"
"2019/09/16","北海道","名寄市",27582,3052,11.1,"2019/01/01","2019/09/16"
"2019/09/16","北海道","三笠市",8562,1123,13.1,"2019/01/01","2019/09/16"
"2019/09/16","北海道","根室市",25953,2353,9.1,"2019/01/01","2019/09/16"
"2019/09/16","北海道","千歳市",97061,15634,16.1,"2019/01/01","2019/09/16"
"2019/09/16","北海道","滝川市",40365,4782,11.8,"2019/01/01","2019/09/16"
"2019/09/16","北海道","砂川市",17137,2041,11.9,"2019/01/01","2019/09/16"
"2019/09/16","北海道","歌志内市",3275,422,12.9,"2019/01/01","2019/09/16"
"2019/09/16","北海道","深川市",20804,1937,9.3,"2019/01/01","2019/09/16"
"2019/09/16","北海道","富良野市",21921,2755,12.6,"2019/01/01","2019/09/16"
"2019/09/16","北海道","登別市",48395,6342,13.1,"2019/01/01","2019/09/16"
"2019/09/16","北海道","恵庭市",69850,9971,14.3,"2019/01/01","2019/09/16"
"2019/09/16","北海道","伊達市",34365,3742,10.9,"2019/01/01","2019/09/16"
"2019/09/16","北海道","北広島市",58630,6399,10.9,"2019/01/01","2019/09/16"
"2019/09/16","北海道","石狩市",58345,7299,12.5,"2019/01/01","2019/09/16"
"2019/09/16","北海道","北斗市",46487,4139,8.9,"2019/01/01","2019/09/16"
"2019/09/16","北海道","石狩郡当別町",16061,1958,12.2,"2019/01/01","2019/09/16"
