"公開日","都道府県名","総数（人口）","交付枚数","交付率","人口算出基準日","交付件数基準日"
"2019/11/01","北海道",5304413,628044,11.8,"2019/01/01","2019/11/01"
"2019/11/01","青森県",1292709,160767,12.4,"2019/01/01","2019/11/01"
"2019/11/01","岩手県",1250142,158546,12.7,"2019/01/01","2019/11/01"
"2019/11/01","宮城県",2303098,311581,13.5,"2019/01/01","2019/11/01"
"2019/11/01","秋田県",1000223,111037,11.1,"2019/01/01","2019/11/01"
"2019/11/01","山形県",1095383,111691,10.2,"2019/01/01","2019/11/01"
"2019/11/01","福島県",1901053,236616,12.4,"2019/01/01","2019/11/01"
"2019/11/01","茨城県",2936184,405928,13.8,"2019/01/01","2019/11/01"
"2019/11/01","栃木県",1976121,261351,13.2,"2019/01/01","2019/11/01"
"2019/11/01","群馬県",1981202,225505,11.4,"2019/01/01","2019/11/01"
"2019/11/01","埼玉県",7377288,1030892,14.0,"2019/01/01","2019/11/01"
"2019/11/01","千葉県",6311190,978070,15.5,"2019/01/01","2019/11/01"
"2019/11/01","東京都",13740732,2619140,19.1,"2019/01/01","2019/11/01"
"2019/11/01","神奈川県",9189521,1653283,18.0,"2019/01/01","2019/11/01"
"2019/11/01","新潟県",2259309,227046,10.0,"2019/01/01","2019/11/01"
"2019/11/01","富山県",1063293,125138,11.8,"2019/01/01","2019/11/01"
"2019/11/01","石川県",1145948,121437,10.6,"2019/01/01","2019/11/01"
"2019/11/01","福井県",786503,76301,9.7,"2019/01/01","2019/11/01"
"2019/11/01","山梨県",832769,97794,11.7,"2019/01/01","2019/11/01"
"2019/11/01","長野県",2101891,242510,11.5,"2019/01/01","2019/11/01"
"2019/11/01","岐阜県",2044114,209861,10.3,"2019/01/01","2019/11/01"
"2019/11/01","静岡県",3726537,491547,13.2,"2019/01/01","2019/11/01"
"2019/11/01","愛知県",7565309,934649,12.4,"2019/01/01","2019/11/01"
"2019/11/01","三重県",1824637,218600,12.0,"2019/01/01","2019/11/01"
"2019/11/01","滋賀県",1420080,204898,14.4,"2019/01/01","2019/11/01"
"2019/11/01","京都府",2555068,361792,14.2,"2019/01/01","2019/11/01"
"2019/11/01","大阪府",8848998,1429799,16.2,"2019/01/01","2019/11/01"
"2019/11/01","兵庫県",5570618,934653,16.8,"2019/01/01","2019/11/01"
"2019/11/01","奈良県",1362781,230422,16.9,"2019/01/01","2019/11/01"
"2019/11/01","和歌山県",964598,109437,11.3,"2019/01/01","2019/11/01"
"2019/11/01","鳥取県",566052,64689,11.4,"2019/01/01","2019/11/01"
"2019/11/01","島根県",686126,87300,12.7,"2019/01/01","2019/11/01"
"2019/11/01","岡山県",1911722,221686,11.6,"2019/01/01","2019/11/01"
"2019/11/01","広島県",2838632,378432,13.3,"2019/01/01","2019/11/01"
"2019/11/01","山口県",1383079,194324,14.1,"2019/01/01","2019/11/01"
"2019/11/01","徳島県",750519,85720,11.4,"2019/01/01","2019/11/01"
"2019/11/01","香川県",987336,112463,11.4,"2019/01/01","2019/11/01"
"2019/11/01","愛媛県",1381761,160177,11.6,"2019/01/01","2019/11/01"
"2019/11/01","高知県",717480,58752,8.2,"2019/01/01","2019/11/01"
"2019/11/01","福岡県",5131305,647715,12.6,"2019/01/01","2019/11/01"
"2019/11/01","佐賀県",828781,100165,12.1,"2019/01/01","2019/11/01"
"2019/11/01","長崎県",1365391,205090,15.0,"2019/01/01","2019/11/01"
"2019/11/01","熊本県",1780079,253822,14.3,"2019/01/01","2019/11/01"
"2019/11/01","大分県",1160218,155187,13.4,"2019/01/01","2019/11/01"
"2019/11/01","宮崎県",1103755,215283,19.5,"2019/01/01","2019/11/01"
"2019/11/01","鹿児島県",1643437,209802,12.8,"2019/01/01","2019/11/01"
"2019/11/01","沖縄県",1476178,175000,11.9,"2019/01/01","2019/11/01"
