"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2020/08/01","全体",62174142,65269421,127443563,12195103,11051719,23246822,19.6,16.9,18.2,100.0,100.0,100.0,"2019/01/01","2020/08/01"
"2020/08/01","0～4歳",2521289,2396069,4917358,136029,129525,265554,5.4,5.4,5.4,1.1,1.2,1.1,"2019/01/01","2020/08/01"
"2020/08/01","5～9",2732810,2597758,5330568,193365,188262,381627,7.1,7.2,7.2,1.6,1.7,1.6,"2019/01/01","2020/08/01"
"2020/08/01","10～14",2823910,2686588,5510498,186461,190412,376873,6.6,7.1,6.8,1.5,1.7,1.6,"2019/01/01","2020/08/01"
"2020/08/01","15～19",3041288,2892530,5933818,308275,310822,619097,10.1,10.7,10.4,2.5,2.8,2.7,"2019/01/01","2020/08/01"
"2020/08/01","20～24",3296677,3124747,6421424,520671,534875,1055546,15.8,17.1,16.4,4.3,4.8,4.5,"2019/01/01","2020/08/01"
"2020/08/01","25～29",3310343,3124346,6434689,624164,588142,1212306,18.9,18.8,18.8,5.1,5.3,5.2,"2019/01/01","2020/08/01"
"2020/08/01","30～34",3658968,3493161,7152129,700428,620999,1321427,19.1,17.8,18.5,5.7,5.6,5.7,"2019/01/01","2020/08/01"
"2020/08/01","35～39",4002907,3856691,7859598,736439,617267,1353706,18.4,16.0,17.2,6.0,5.6,5.8,"2019/01/01","2020/08/01"
"2020/08/01","40～44",4656293,4495779,9152072,804585,642463,1447048,17.3,14.3,15.8,6.6,5.8,6.2,"2019/01/01","2020/08/01"
"2020/08/01","45～49",4983034,4848511,9831545,907380,733545,1640925,18.2,15.1,16.7,7.4,6.6,7.1,"2019/01/01","2020/08/01"
"2020/08/01","50～54",4272064,4205832,8477896,870198,723320,1593518,20.4,17.2,18.8,7.1,6.5,6.9,"2019/01/01","2020/08/01"
"2020/08/01","55～59",3832181,3829920,7662101,898352,755119,1653471,23.4,19.7,21.6,7.4,6.8,7.1,"2019/01/01","2020/08/01"
"2020/08/01","60～64",3749568,3824988,7574556,957099,826273,1783372,25.5,21.6,23.5,7.8,7.5,7.7,"2019/01/01","2020/08/01"
"2020/08/01","65～69",4439844,4717535,9157379,1099115,977663,2076778,24.8,20.7,22.7,9.0,8.8,8.9,"2019/01/01","2020/08/01"
"2020/08/01","70～74",3881182,4364234,8245416,1124879,1071373,2196252,29.0,24.5,26.6,9.2,9.7,9.4,"2019/01/01","2020/08/01"
"2020/08/01","75～79",3098224,3842998,6941222,940050,971360,1911410,30.3,25.3,27.5,7.7,8.8,8.2,"2019/01/01","2020/08/01"
"2020/08/01","80～84",2147070,3089298,5236368,655581,655496,1311077,30.5,21.2,25.0,5.4,5.9,5.6,"2019/01/01","2020/08/01"
"2020/08/01","85～89",1202685,2251901,3454586,372829,359397,732226,31.0,16.0,21.2,3.1,3.3,3.1,"2019/01/01","2020/08/01"
"2020/08/01","90～94",437923,1193961,1631884,131610,124196,255806,30.1,10.4,15.7,1.1,1.1,1.1,"2019/01/01","2020/08/01"
"2020/08/01","95～99",77620,371776,449396,21075,23915,44990,27.2,6.4,10.0,0.2,0.2,0.2,"2019/01/01","2020/08/01"
"2020/08/01","100歳以上",8241,60749,68990,6518,7295,13813,79.1,12.0,20.0,0.1,0.1,0.1,"2019/01/01","2020/08/01"
