"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2021/04/01","北海道",5267762,1311001,24.9,"2020/01/01","2021/04/01"
"2021/04/01","青森県",1275783,303490,23.8,"2020/01/01","2021/04/01"
"2021/04/01","岩手県",1235517,299078,24.2,"2020/01/01","2021/04/01"
"2021/04/01","宮城県",2292385,624822,27.3,"2020/01/01","2021/04/01"
"2021/04/01","秋田県",985416,254933,25.9,"2020/01/01","2021/04/01"
"2021/04/01","山形県",1082296,252007,23.3,"2020/01/01","2021/04/01"
"2021/04/01","福島県",1881981,454870,24.2,"2020/01/01","2021/04/01"
"2021/04/01","茨城県",2921436,800347,27.4,"2020/01/01","2021/04/01"
"2021/04/01","栃木県",1965516,508813,25.9,"2020/01/01","2021/04/01"
"2021/04/01","群馬県",1969439,445639,22.6,"2020/01/01","2021/04/01"
"2021/04/01","埼玉県",7390054,2021018,27.3,"2020/01/01","2021/04/01"
"2021/04/01","千葉県",6319772,1836153,29.1,"2020/01/01","2021/04/01"
"2021/04/01","東京都",13834925,4458438,32.2,"2020/01/01","2021/04/01"
"2021/04/01","神奈川県",9209442,2842809,30.9,"2020/01/01","2021/04/01"
"2021/04/01","新潟県",2236042,484584,21.7,"2020/01/01","2021/04/01"
"2021/04/01","富山県",1055999,289201,27.4,"2020/01/01","2021/04/01"
"2021/04/01","石川県",1139612,319145,28.0,"2020/01/01","2021/04/01"
"2021/04/01","福井県",780053,198689,25.5,"2020/01/01","2021/04/01"
"2021/04/01","山梨県",826579,217037,26.3,"2020/01/01","2021/04/01"
"2021/04/01","長野県",2087307,480924,23.0,"2020/01/01","2021/04/01"
"2021/04/01","岐阜県",2032490,508344,25.0,"2020/01/01","2021/04/01"
"2021/04/01","静岡県",3708556,1060765,28.6,"2020/01/01","2021/04/01"
"2021/04/01","愛知県",7575530,2077949,27.4,"2020/01/01","2021/04/01"
"2021/04/01","三重県",1813859,500513,27.6,"2020/01/01","2021/04/01"
"2021/04/01","滋賀県",1420948,450681,31.7,"2020/01/01","2021/04/01"
"2021/04/01","京都府",2545899,744735,29.3,"2020/01/01","2021/04/01"
"2021/04/01","大阪府",8849635,2656735,30.0,"2020/01/01","2021/04/01"
"2021/04/01","兵庫県",5549568,1794500,32.3,"2020/01/01","2021/04/01"
"2021/04/01","奈良県",1353837,444615,32.8,"2020/01/01","2021/04/01"
"2021/04/01","和歌山県",954258,236793,24.8,"2020/01/01","2021/04/01"
"2021/04/01","鳥取県",561175,149244,26.6,"2020/01/01","2021/04/01"
"2021/04/01","島根県",679324,183709,27.0,"2020/01/01","2021/04/01"
"2021/04/01","岡山県",1903627,510908,26.8,"2020/01/01","2021/04/01"
"2021/04/01","広島県",2826858,812932,28.8,"2020/01/01","2021/04/01"
"2021/04/01","山口県",1369882,406569,29.7,"2020/01/01","2021/04/01"
"2021/04/01","徳島県",742505,223193,30.1,"2020/01/01","2021/04/01"
"2021/04/01","香川県",981280,273081,27.8,"2020/01/01","2021/04/01"
"2021/04/01","愛媛県",1369131,370224,27.0,"2020/01/01","2021/04/01"
"2021/04/01","高知県",709230,155132,21.9,"2020/01/01","2021/04/01"
"2021/04/01","福岡県",5129841,1418021,27.6,"2020/01/01","2021/04/01"
"2021/04/01","佐賀県",823810,222018,27.0,"2020/01/01","2021/04/01"
"2021/04/01","長崎県",1350769,381296,28.2,"2020/01/01","2021/04/01"
"2021/04/01","熊本県",1769880,494770,28.0,"2020/01/01","2021/04/01"
"2021/04/01","大分県",1151229,312915,27.2,"2020/01/01","2021/04/01"
"2021/04/01","宮崎県",1095903,417125,38.1,"2020/01/01","2021/04/01"
"2021/04/01","鹿児島県",1630146,422812,25.9,"2020/01/01","2021/04/01"
"2021/04/01","沖縄県",1481547,336986,22.7,"2020/01/01","2021/04/01"
