"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/05/01","北海道","札幌市",1959313,532061,27.2,"2020/01/01","2021/05/01",11002
"2021/05/01","北海道","函館市",255308,63813,25.0,"2020/01/01","2021/05/01",12025
"2021/05/01","北海道","小樽市",114425,30332,26.5,"2020/01/01","2021/05/01",12033
"2021/05/01","北海道","旭川市",334070,85253,25.5,"2020/01/01","2021/05/01",12041
"2021/05/01","北海道","室蘭市",82977,25835,31.1,"2020/01/01","2021/05/01",12050
"2021/05/01","北海道","釧路市",168086,50468,30.0,"2020/01/01","2021/05/01",12068
"2021/05/01","北海道","帯広市",166043,34662,20.9,"2020/01/01","2021/05/01",12076
"2021/05/01","北海道","北見市",116630,28368,24.3,"2020/01/01","2021/05/01",12084
"2021/05/01","北海道","夕張市",7769,1881,24.2,"2020/01/01","2021/05/01",12092
"2021/05/01","北海道","岩見沢市",80410,21167,26.3,"2020/01/01","2021/05/01",12106
"2021/05/01","北海道","網走市",35039,8341,23.8,"2020/01/01","2021/05/01",12114
"2021/05/01","北海道","留萌市",20715,5366,25.9,"2020/01/01","2021/05/01",12122
"2021/05/01","北海道","苫小牧市",171242,51870,30.3,"2020/01/01","2021/05/01",12131
"2021/05/01","北海道","稚内市",33605,9848,29.3,"2020/01/01","2021/05/01",12149
"2021/05/01","北海道","美唄市",21058,5267,25.0,"2020/01/01","2021/05/01",12157
"2021/05/01","北海道","芦別市",13204,3615,27.4,"2020/01/01","2021/05/01",12165
"2021/05/01","北海道","江別市",119580,31140,26.0,"2020/01/01","2021/05/01",12173
"2021/05/01","北海道","赤平市",9906,2630,26.5,"2020/01/01","2021/05/01",12181
"2021/05/01","北海道","紋別市",21582,4621,21.4,"2020/01/01","2021/05/01",12190
"2021/05/01","北海道","士別市",18562,4942,26.6,"2020/01/01","2021/05/01",12203
"2021/05/01","北海道","名寄市",27277,8047,29.5,"2020/01/01","2021/05/01",12211
"2021/05/01","北海道","三笠市",8302,2551,30.7,"2020/01/01","2021/05/01",12220
"2021/05/01","北海道","根室市",25457,5654,22.2,"2020/01/01","2021/05/01",12238
"2021/05/01","北海道","千歳市",97552,40931,42.0,"2020/01/01","2021/05/01",12246
"2021/05/01","北海道","滝川市",39861,12524,31.4,"2020/01/01","2021/05/01",12254
"2021/05/01","北海道","砂川市",16848,4886,29.0,"2020/01/01","2021/05/01",12262
"2021/05/01","北海道","歌志内市",3130,647,20.7,"2020/01/01","2021/05/01",12271
"2021/05/01","北海道","深川市",20422,4350,21.3,"2020/01/01","2021/05/01",12289
"2021/05/01","北海道","富良野市",21593,6006,27.8,"2020/01/01","2021/05/01",12297
"2021/05/01","北海道","登別市",47608,14523,30.5,"2020/01/01","2021/05/01",12301
"2021/05/01","北海道","恵庭市",70049,23734,33.9,"2020/01/01","2021/05/01",12319
"2021/05/01","北海道","伊達市",33896,8911,26.3,"2020/01/01","2021/05/01",12335
"2021/05/01","北海道","北広島市",58265,14144,24.3,"2020/01/01","2021/05/01",12343
"2021/05/01","北海道","石狩市",58288,14939,25.6,"2020/01/01","2021/05/01",12351
"2021/05/01","北海道","北斗市",46031,11227,24.4,"2020/01/01","2021/05/01",12360
"2021/05/01","北海道","石狩郡当別町",15840,3831,24.2,"2020/01/01","2021/05/01",13030
"2021/05/01","北海道","石狩郡新篠津村",3033,564,18.6,"2020/01/01","2021/05/01",13048
"2021/05/01","北海道","松前郡松前町",6996,2294,32.8,"2020/01/01","2021/05/01",13315
"2021/05/01","北海道","松前郡福島町",3968,1473,37.1,"2020/01/01","2021/05/01",13323
"2021/05/01","北海道","上磯郡知内町",4290,744,17.3,"2020/01/01","2021/05/01",13331
"2021/05/01","北海道","上磯郡木古内町",4066,861,21.2,"2020/01/01","2021/05/01",13340
"2021/05/01","北海道","亀田郡七飯町",28148,6671,23.7,"2020/01/01","2021/05/01",13374
"2021/05/01","北海道","茅部郡鹿部町",3899,1154,29.6,"2020/01/01","2021/05/01",13439
"2021/05/01","北海道","茅部郡森町",15230,3556,23.3,"2020/01/01","2021/05/01",13455
"2021/05/01","北海道","二海郡八雲町",16293,3613,22.2,"2020/01/01","2021/05/01",13463
"2021/05/01","北海道","山越郡長万部町",5271,1005,19.1,"2020/01/01","2021/05/01",13471
"2021/05/01","北海道","檜山郡江差町",7488,1584,21.2,"2020/01/01","2021/05/01",13617
"2021/05/01","北海道","檜山郡上ノ国町",4707,882,18.7,"2020/01/01","2021/05/01",13625
