"算出基準日","都道府県名","市区町村名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付件数基準日","団体コード"
"2021/07/01","北海道","札幌市",1959313,608401,31.1,"2020/01/01","2021/07/01",11002
"2021/07/01","北海道","函館市",255308,75880,29.7,"2020/01/01","2021/07/01",12025
"2021/07/01","北海道","小樽市",114425,35128,30.7,"2020/01/01","2021/07/01",12033
"2021/07/01","北海道","旭川市",334070,97091,29.1,"2020/01/01","2021/07/01",12041
"2021/07/01","北海道","室蘭市",82977,30102,36.3,"2020/01/01","2021/07/01",12050
"2021/07/01","北海道","釧路市",168086,57243,34.1,"2020/01/01","2021/07/01",12068
"2021/07/01","北海道","帯広市",166043,40191,24.2,"2020/01/01","2021/07/01",12076
"2021/07/01","北海道","北見市",116630,33696,28.9,"2020/01/01","2021/07/01",12084
"2021/07/01","北海道","夕張市",7769,2174,28.0,"2020/01/01","2021/07/01",12092
"2021/07/01","北海道","岩見沢市",80410,25163,31.3,"2020/01/01","2021/07/01",12106
"2021/07/01","北海道","網走市",35039,9911,28.3,"2020/01/01","2021/07/01",12114
"2021/07/01","北海道","留萌市",20715,6177,29.8,"2020/01/01","2021/07/01",12122
"2021/07/01","北海道","苫小牧市",171242,60910,35.6,"2020/01/01","2021/07/01",12131
"2021/07/01","北海道","稚内市",33605,11334,33.7,"2020/01/01","2021/07/01",12149
"2021/07/01","北海道","美唄市",21058,5976,28.4,"2020/01/01","2021/07/01",12157
"2021/07/01","北海道","芦別市",13204,4145,31.4,"2020/01/01","2021/07/01",12165
"2021/07/01","北海道","江別市",119580,35234,29.5,"2020/01/01","2021/07/01",12173
"2021/07/01","北海道","赤平市",9906,3066,31.0,"2020/01/01","2021/07/01",12181
"2021/07/01","北海道","紋別市",21582,5453,25.3,"2020/01/01","2021/07/01",12190
"2021/07/01","北海道","士別市",18562,5794,31.2,"2020/01/01","2021/07/01",12203
"2021/07/01","北海道","名寄市",27277,9135,33.5,"2020/01/01","2021/07/01",12211
"2021/07/01","北海道","三笠市",8302,2840,34.2,"2020/01/01","2021/07/01",12220
"2021/07/01","北海道","根室市",25457,6896,27.1,"2020/01/01","2021/07/01",12238
"2021/07/01","北海道","千歳市",97552,45452,46.6,"2020/01/01","2021/07/01",12246
