"算出基準日","都道府県名","総数（人口）","交付枚数","人口に対する交付枚数率","人口算出基準日","交付枚数算出基準日"
"2021/09/01","北海道",5228732,1762500,33.7,"2021/01/01","2021/09/01"
"2021/09/01","青森県",1260067,406990,32.3,"2021/01/01","2021/09/01"
"2021/09/01","岩手県",1221205,397431,32.5,"2021/01/01","2021/09/01"
"2021/09/01","宮城県",2282106,845545,37.1,"2021/01/01","2021/09/01"
"2021/09/01","秋田県",971604,344708,35.5,"2021/01/01","2021/09/01"
"2021/09/01","山形県",1070017,358943,33.5,"2021/01/01","2021/09/01"
"2021/09/01","福島県",1862777,619508,33.3,"2021/01/01","2021/09/01"
"2021/09/01","茨城県",2907678,1051026,36.1,"2021/01/01","2021/09/01"
"2021/09/01","栃木県",1955402,682527,34.9,"2021/01/01","2021/09/01"
"2021/09/01","群馬県",1958185,617522,31.5,"2021/01/01","2021/09/01"
"2021/09/01","埼玉県",7393849,2666461,36.1,"2021/01/01","2021/09/01"
"2021/09/01","千葉県",6322897,2418456,38.2,"2021/01/01","2021/09/01"
"2021/09/01","東京都",13843525,5606891,40.5,"2021/01/01","2021/09/01"
"2021/09/01","神奈川県",9220245,3727437,40.4,"2021/01/01","2021/09/01"
"2021/09/01","新潟県",2213353,687975,31.1,"2021/01/01","2021/09/01"
"2021/09/01","富山県",1047713,408354,39.0,"2021/01/01","2021/09/01"
"2021/09/01","石川県",1132656,435565,38.5,"2021/01/01","2021/09/01"
"2021/09/01","福井県",774596,277670,35.8,"2021/01/01","2021/09/01"
"2021/09/01","山梨県",821094,286002,34.8,"2021/01/01","2021/09/01"
"2021/09/01","長野県",2072219,669528,32.3,"2021/01/01","2021/09/01"
"2021/09/01","岐阜県",2016868,719022,35.7,"2021/01/01","2021/09/01"
"2021/09/01","静岡県",3686335,1405712,38.1,"2021/01/01","2021/09/01"
"2021/09/01","愛知県",7558872,2838363,37.6,"2021/01/01","2021/09/01"
"2021/09/01","三重県",1800756,675065,37.5,"2021/01/01","2021/09/01"
"2021/09/01","滋賀県",1418886,592189,41.7,"2021/01/01","2021/09/01"
"2021/09/01","京都府",2530609,976316,38.6,"2021/01/01","2021/09/01"
"2021/09/01","大阪府",8839532,3444368,39.0,"2021/01/01","2021/09/01"
"2021/09/01","兵庫県",5523627,2343660,42.4,"2021/01/01","2021/09/01"
"2021/09/01","奈良県",1344952,564961,42.0,"2021/01/01","2021/09/01"
"2021/09/01","和歌山県",944750,312300,33.1,"2021/01/01","2021/09/01"
"2021/09/01","鳥取県",556959,199576,35.8,"2021/01/01","2021/09/01"
"2021/09/01","島根県",672979,248018,36.9,"2021/01/01","2021/09/01"
"2021/09/01","岡山県",1893874,703351,37.1,"2021/01/01","2021/09/01"
"2021/09/01","広島県",2812477,1093264,38.9,"2021/01/01","2021/09/01"
"2021/09/01","山口県",1356144,543813,40.1,"2021/01/01","2021/09/01"
"2021/09/01","徳島県",735070,273836,37.3,"2021/01/01","2021/09/01"
"2021/09/01","香川県",973922,367721,37.8,"2021/01/01","2021/09/01"
"2021/09/01","愛媛県",1356343,512978,37.8,"2021/01/01","2021/09/01"
"2021/09/01","高知県",701531,214099,30.5,"2021/01/01","2021/09/01"
"2021/09/01","福岡県",5124259,1915710,37.4,"2021/01/01","2021/09/01"
"2021/09/01","佐賀県",818251,303279,37.1,"2021/01/01","2021/09/01"
"2021/09/01","長崎県",1336023,483851,36.2,"2021/01/01","2021/09/01"
"2021/09/01","熊本県",1758815,647477,36.8,"2021/01/01","2021/09/01"
"2021/09/01","大分県",1141784,418074,36.6,"2021/01/01","2021/09/01"
"2021/09/01","宮崎県",1087372,530315,48.8,"2021/01/01","2021/09/01"
"2021/09/01","鹿児島県",1617850,575073,35.5,"2021/01/01","2021/09/01"
"2021/09/01","沖縄県",1485484,438741,29.5,"2021/01/01","2021/09/01"
