"算出基準日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付枚数算出基準日"
"2021/05/01","全体",62036028,65102005,127138033,19182354,18946980,38129334,30.9,29.1,30.0,100.0,100.0,100.0,"2020/01/01","2021/05/01"
"2021/05/01","0～4歳",2451534,2331996,4783530,454007,436603,890610,18.5,18.7,18.6,2.4,2.3,2.3,"2020/01/01","2021/05/01"
"2021/05/01","5～9",2703139,2567979,5271118,572270,555032,1127302,21.2,21.6,21.4,3.0,2.9,3.0,"2020/01/01","2021/05/01"
"2021/05/01","10～14",2805669,2667945,5473614,538675,530465,1069140,19.2,19.9,19.5,2.8,2.8,2.8,"2020/01/01","2021/05/01"
"2021/05/01","15～19",3012009,2865038,5877047,629464,620419,1249883,20.9,21.7,21.3,3.3,3.3,3.3,"2020/01/01","2021/05/01"
"2021/05/01","20～24",3294145,3116004,6410149,852438,896405,1748843,25.9,28.8,27.3,4.4,4.7,4.6,"2020/01/01","2021/05/01"
"2021/05/01","25～29",3332499,3133721,6466220,957541,996109,1953650,28.7,31.8,30.2,5.0,5.3,5.1,"2020/01/01","2021/05/01"
"2021/05/01","30～34",3562668,3387856,6950524,1101662,1097317,2198979,30.9,32.4,31.6,5.7,5.8,5.8,"2020/01/01","2021/05/01"
"2021/05/01","35～39",3938861,3791620,7730481,1195284,1156967,2352251,30.3,30.5,30.4,6.2,6.1,6.2,"2020/01/01","2021/05/01"
"2021/05/01","40～44",4476747,4321668,8798415,1302045,1218181,2520226,29.1,28.2,28.6,6.8,6.4,6.6,"2020/01/01","2021/05/01"
"2021/05/01","45～49",5052054,4908004,9960058,1477778,1386710,2864488,29.3,28.3,28.8,7.7,7.3,7.5,"2020/01/01","2021/05/01"
"2021/05/01","50～54",4370727,4295647,8666374,1364801,1319351,2684152,31.2,30.7,31.0,7.1,7.0,7.0,"2020/01/01","2021/05/01"
"2021/05/01","55～59",3893633,3885044,7778677,1383562,1352039,2735601,35.5,34.8,35.2,7.2,7.1,7.2,"2020/01/01","2021/05/01"
"2021/05/01","60～64",3705990,3778959,7484949,1419450,1370315,2789765,38.3,36.3,37.3,7.4,7.2,7.3,"2020/01/01","2021/05/01"
"2021/05/01","65～69",4136887,4375393,8512280,1548115,1488954,3037069,37.4,34.0,35.7,8.1,7.9,8.0,"2020/01/01","2021/05/01"
"2021/05/01","70～74",4135964,4624192,8760156,1705149,1691903,3397052,41.2,36.6,38.8,8.9,8.9,8.9,"2020/01/01","2021/05/01"
"2021/05/01","75～79",3190582,3961097,7151679,1136002,1221697,2357699,35.6,30.8,33.0,5.9,6.4,6.2,"2020/01/01","2021/05/01"
"2021/05/01","80～84",2169304,3092116,5261420,831352,876680,1708032,38.3,28.4,32.5,4.3,4.6,4.5,"2020/01/01","2021/05/01"
"2021/05/01","85～89",1246148,2296585,3542733,488689,503457,992146,39.2,21.9,28.0,2.5,2.7,2.6,"2020/01/01","2021/05/01"
"2021/05/01","90～94",462823,1243823,1706646,182094,180654,362748,39.3,14.5,21.3,0.9,1.0,1.0,"2020/01/01","2021/05/01"
"2021/05/01","95～99",86004,393936,479940,34326,38610,72936,39.9,9.8,15.2,0.2,0.2,0.2,"2020/01/01","2021/05/01"
"2021/05/01","100歳以上",8623,63336,71959,7650,9112,16762,88.7,14.4,23.3,0.0,0.0,0.0,"2020/01/01","2021/05/01"
