"年齢","人口（H29.1.1時点）","","","交付件数（H30.3.1時点）","","","交付率","","","全体に対する交付件数割合","",""
"","男","女","計","男","女","計","男","女","計","男","女","計"
"全体",62394249,"","65,512,765 127,907,014",7338347,6334415,13672762,11.8,9.7,10.7,100.0,100.0,100.0
"0～4歳",2621231,2490499,5111730,59544,56141,115685,2.3,2.3,2.3,0.8,0.9,0.8
"5～9",2785944,2646286,5432230,82349,79597,161946,3.0,3.0,3.0,1.1,1.3,1.2
"10～14",2868662,2729563,5598225,77157,77539,154696,2.7,2.8,2.8,1.1,1.2,1.1
"15～19",3090372,2942630,6033002,130026,128717,258743,4.2,4.4,4.3,1.8,2.0,1.9
"20～24",3243592,3079965,6323557,238709,240152,478861,7.4,7.8,7.6,3.3,3.8,3.5
"25～29",3399524,3223084,6622608,296773,264677,561450,8.7,8.2,8.5,4.0,4.2,4.1
"30～34",3808238,3656088,7464326,350459,297750,648209,9.2,8.1,8.7,4.8,4.7,4.7
"35～39",4199117,4044663,8243780,380745,297016,677761,9.1,7.3,8.2,5.2,4.7,5.0
"40～44",4976555,4812300,9788855,441956,321846,763802,8.9,6.7,7.8,6.0,5.1,5.6
"45～49",4807492,4693977,9501469,473768,350980,824748,9.9,7.5,8.7,6.5,5.5,6.0
"50～54",3989860,3937541,7927401,489802,378756,868558,12.3,9.6,11.0,6.7,6.0,6.4
"55～59",3763163,3774218,7537381,542246,450678,992924,14.4,11.9,13.2,7.4,7.1,7.3
"60～64",3976493,4072974,8049467,668433,572883,1241316,16.8,14.1,15.4,9.1,9.0,9.1
"65～69",4929868,5242975,10172843,925965,798732,1724697,18.8,15.2,17.0,12.6,12.6,12.6
"70～74",3417616,3914181,7331797,759998,707966,1467964,22.2,18.1,20.0,10.4,11.2,10.7
"75～79",2903418,3621089,6524507,662845,623505,1286350,22.8,17.2,19.7,9.0,9.8,9.4
"80～84",2064886,3043941,5108827,459199,417791,876990,22.2,13.7,17.2,6.3,6.6,6.4
"85～89",1095016,2114143,3209159,226632,200683,427315,20.7,9.5,13.3,3.1,3.2,3.1
"90～94",376916,1087992,1464908,63447,58332,121779,16.8,5.4,8.3,0.9,0.9,0.9
"95～99",68342,327978,396320,7738,9629,17367,11.3,2.9,4.4,0.1,0.2,0.1
"100歳以上",7944,56678,64622,556,1045,1601,7.0,1.8,2.5,0.0,0.0,0.0
