"年齢","人口(男)","人口(女)","人口(計","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付件数基準日"
"全体",62298872,65408317,127707189,8806981,7759995,16566976,14.1,11.9,13.0,100.0,100.0,100.0,"2018/01/01","2019/04/01"
"0～4歳",2576059,2448877,5024936,61182,57475,118657,2.4,2.3,2.4,0.7,0.7,0.7,"2018/01/01","2019/04/01"
"5～9",2761895,2625266,5387161,95158,92438,187596,3.4,3.5,3.5,1.1,1.2,1.1,"2018/01/01","2019/04/01"
"10～14",2838085,2700056,5538141,92452,96332,188784,3.3,3.6,3.4,1.0,1.2,1.1,"2018/01/01","2019/04/01"
"15～19",3076958,2927326,6004284,165151,168558,333709,5.4,5.8,5.6,1.9,2.2,2.0,"2018/01/01","2019/04/01"
"20～24",3262515,3096776,6359291,317738,329936,647674,9.7,10.7,10.2,3.6,4.3,3.9,"2018/01/01","2019/04/01"
"25～29",3352604,3171883,6524487,385552,359257,744809,11.5,11.3,11.4,4.4,4.6,4.5,"2018/01/01","2019/04/01"
"30～34",3740090,3578958,7319048,451031,392707,843738,12.1,11.0,11.5,5.1,5.1,5.1,"2018/01/01","2019/04/01"
"35～39",4092014,3944274,8036288,480474,385400,865874,11.7,9.8,10.8,5.5,5.0,5.2,"2018/01/01","2019/04/01"
"40～44",4834840,4670809,9505649,537979,402655,940634,11.1,8.6,9.9,6.1,5.2,5.7,"2018/01/01","2019/04/01"
"45～49",4876089,4749158,9625247,594084,447072,1041156,12.2,9.4,10.8,6.7,5.8,6.3,"2018/01/01","2019/04/01"
"50～54",4155182,4097972,8253154,594189,465690,1059879,14.3,11.4,12.8,6.7,6.0,6.4,"2018/01/01","2019/04/01"
"55～59",3808343,3813246,7621589,637498,527270,1164768,16.7,13.8,15.3,7.2,6.8,7.0,"2018/01/01","2019/04/01"
"60～64",3814894,3899275,7714169,758326,647461,1405787,19.9,16.6,18.2,8.6,8.3,8.5,"2018/01/01","2019/04/01"
"65～69",4715129,5012634,9727763,988626,867085,1855711,21.0,17.3,19.1,11.2,11.2,11.2,"2018/01/01","2019/04/01"
"70～74",3648372,4139718,7788090,908496,851208,1759704,24.9,20.6,22.6,10.3,11.0,10.6,"2018/01/01","2019/04/01"
"75～79",2970975,3687240,6658215,790433,777869,1568302,26.6,21.1,23.6,9.0,10.0,9.5,"2018/01/01","2019/04/01"
"80～84",2131085,3100218,5231303,546556,517843,1064399,25.6,16.7,20.3,6.2,6.7,6.4,"2018/01/01","2019/04/01"
"85～89",1156847,2200116,3356963,294200,269910,564110,25.4,12.3,16.8,3.3,3.5,3.4,"2018/01/01","2019/04/01"
"90～94",407334,1138156,1545490,93629,86555,180184,23.0,7.6,11.7,1.1,1.1,1.1,"2018/01/01","2019/04/01"
"95～99",71414,347548,418962,13024,15401,28425,18.2,4.4,6.8,0.1,0.2,0.2,"2018/01/01","2019/04/01"
"100歳以上",8148,58811,66959,1203,1873,3076,14.8,3.2,4.6,0.0,0.0,0.0,"2018/01/01","2019/04/01"
