"公開日","年齢","人口(男)","人口(女)","人口(計","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付件数基準日"
"2020/05/01","全体",62174142,65269421,127443563,"","","9,868,493  20,853,465",17.7,15.1,16.4,100.0,100.0,100.0,"2019/01/01","2020/05/01"
"2020/05/01","0~4歳",2521289,2396069,4917358,98116,92913,191029,3.9,3.9,3.9,0.9,0.9,0.9,"2019/01/01","2020/05/01"
"2020/05/01","5~9",2732810,2597758,5330568,151868,147350,299218,5.6,5.7,5.6,1.4,1.5,1.4,"2019/01/01","2020/05/01"
"2020/05/01","10~14",2823910,2686588,5510498,148493,153128,301621,5.3,5.7,5.5,1.4,1.6,1.4,"2019/01/01","2020/05/01"
"2020/05/01","15~19",3041288,2892530,5933818,246744,249972,496716,8.1,8.6,8.4,2.2,2.5,2.4,"2019/01/01","2020/05/01"
"2020/05/01","20~24",3296677,3124747,6421424,441784,456307,898091,13.4,14.6,14.0,4.0,4.6,4.3,"2019/01/01","2020/05/01"
"2020/05/01","25~29",3310343,3124346,6434689,538264,507593,1045857,16.3,16.2,16.3,4.9,5.1,5.0,"2019/01/01","2020/05/01"
"2020/05/01","30~34",3658968,3493161,7152129,608290,536637,1144927,16.6,15.4,16.0,5.5,5.4,5.5,"2019/01/01","2020/05/01"
"2020/05/01","35~39",4002907,3856691,7859598,640274,529475,1169749,16.0,13.7,14.9,5.8,5.4,5.6,"2019/01/01","2020/05/01"
"2020/05/01","40~44",4656293,4495779,9152072,696114,542633,1238747,14.9,12.1,13.5,6.3,5.5,5.9,"2019/01/01","2020/05/01"
"2020/05/01","45~49",4983034,4848511,9831545,787562,619228,1406790,15.8,12.8,14.3,7.2,6.3,6.7,"2019/01/01","2020/05/01"
"2020/05/01","50~54",4272064,4205832,8477896,764606,619787,1384393,17.9,14.7,16.3,7.0,6.3,6.6,"2019/01/01","2020/05/01"
"2020/05/01","55~59",3832181,3829920,7662101,805803,666314,1472117,21.0,17.4,19.2,7.3,6.8,7.1,"2019/01/01","2020/05/01"
"2020/05/01","60~64",3749568,3824988,7574556,879032,756072,1635104,23.4,19.8,21.6,8.0,7.7,7.8,"2019/01/01","2020/05/01"
"2020/05/01","65~69",4439844,4717535,"","9,157,379  1,038,919",920684,1959603,23.4,19.5,21.4,9.5,9.3,9.4,"2019/01/01","2020/05/01"
"2020/05/01","70~74",3881182,4364234,"","8,245,416  1,077,697",1018707,2096404,27.8,23.3,25.4,9.8,10.3,10.1,"2019/01/01","2020/05/01"
"2020/05/01","75~79",3098224,3842998,6941222,907853,928424,1836277,29.3,24.2,26.5,8.3,9.4,8.8,"2019/01/01","2020/05/01"
"2020/05/01","80~84",2147070,3089298,5236368,635838,627729,1263567,29.6,20.3,24.1,5.8,6.4,6.1,"2019/01/01","2020/05/01"
"2020/05/01","85~89",1202685,2251901,3454586,364623,347334,711957,30.3,15.4,20.6,3.3,3.5,3.4,"2019/01/01","2020/05/01"
"2020/05/01","90~94",437923,1193961,1631884,129824,121264,251088,29.6,10.2,15.4,1.2,1.2,1.2,"2019/01/01","2020/05/01"
"2020/05/01","95~99",77620,371776,449396,20897,23521,44418,26.9,6.3,9.9,0.2,0.2,0.2,"2019/01/01","2020/05/01"
"2020/05/01","100歳以上",8241,60749,68990,2371,3421,5792,28.8,5.6,8.4,0.0,0.0,0.0,"2019/01/01","2020/05/01"
