"年齢","人口(男)","人口(女)","人口(計","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付件数基準日"
"全体",62174142,65269421,127443563,"","","9,622,414  20,332,415",17.2,14.7,16.0,100.0,100.0,100.0,"2019/01/01","2020/04/01"
"0～4歳",2521289,2396069,4917358,91857,86703,178560,3.6,3.6,3.6,0.9,0.9,0.9,"2019/01/01","2020/04/01"
"5～9",2732810,2597758,5330568,142718,138615,281333,5.2,5.3,5.3,1.3,1.4,1.4,"2019/01/01","2020/04/01"
"10～14",2823910,2686588,5510498,138307,143306,281613,4.9,5.3,5.1,1.3,1.5,1.4,"2019/01/01","2020/04/01"
"15～19",3041288,2892530,5933818,228594,232694,461288,7.5,8.0,7.8,2.1,2.4,2.3,"2019/01/01","2020/04/01"
"20～24",3296677,3124747,6421424,422404,437955,860359,12.8,14.0,13.4,3.9,4.6,4.2,"2019/01/01","2020/04/01"
"25～29",3310343,3124346,6434689,519087,491467,1010554,15.7,15.7,15.7,4.8,5.1,5.0,"2019/01/01","2020/04/01"
"30～34",3658968,3493161,7152129,587891,520860,1108751,16.1,14.9,15.5,5.5,5.4,5.5,"2019/01/01","2020/04/01"
"35～39",4002907,3856691,7859598,620273,513791,1134064,15.5,13.3,14.4,5.8,5.3,5.6,"2019/01/01","2020/04/01"
"40～44",4656293,4495779,9152072,674062,524494,1198556,14.5,11.7,13.1,6.3,5.5,5.9,"2019/01/01","2020/04/01"
"45～49",4983034,4848511,9831545,762580,597550,1360130,15.3,12.3,13.8,7.1,6.2,6.7,"2019/01/01","2020/04/01"
"50～54",4272064,4205832,8477896,742038,599607,1341645,17.4,14.3,15.8,6.9,6.2,6.6,"2019/01/01","2020/04/01"
"55～59",3832181,3829920,7662101,784240,647789,1432029,20.5,16.9,18.7,7.3,6.7,7.0,"2019/01/01","2020/04/01"
"60～64",3749568,3824988,7574556,860586,740490,1601076,23.0,19.4,21.1,8.0,7.7,7.9,"2019/01/01","2020/04/01"
"65～69",4439844,4717535,"","9,157,379  1,024,042",907808,1931850,23.1,19.2,21.1,9.6,9.4,9.5,"2019/01/01","2020/04/01"
"70～74",3881182,4364234,"","8,245,416  1,065,731",1006493,2072224,27.5,23.1,25.1,10.0,10.5,10.2,"2019/01/01","2020/04/01"
"75～79",3098224,3842998,6941222,899747,918694,1818441,29.0,23.9,26.2,8.4,9.5,8.9,"2019/01/01","2020/04/01"
"80～84",2147070,3089298,5236368,631019,621974,1252993,29.4,20.1,23.9,5.9,6.5,6.2,"2019/01/01","2020/04/01"
"85～89",1202685,2251901,3454586,362508,344830,707338,30.1,15.3,20.5,3.4,3.6,3.5,"2019/01/01","2020/04/01"
"90～94",437923,1193961,1631884,129374,120718,250092,29.5,10.1,15.3,1.2,1.3,1.2,"2019/01/01","2020/04/01"
"95～99",77620,371776,449396,20855,23450,44305,26.9,6.3,9.9,0.2,0.2,0.2,"2019/01/01","2020/04/01"
"100歳以上",8241,60749,68990,2088,3126,5214,25.3,5.1,7.6,0.0,0.0,0.0,"2019/01/01","2020/04/01"
