"公開日","年齢","人口(男)","人口(女)","人口(計","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付件数基準日"
"2020/06/01","全体",62174142,65269421,127443563,"",10106109,21355669,18.1,15.5,16.8,100.0,100.0,100.0,"2019/01/01","2020/06/01"
"2020/06/01","0～4歳",2521289,2396069,4917358,104710,99316,204026,4.2,4.1,4.1,0.9,1.0,1.0,"2019/01/01","2020/06/01"
"2020/06/01","5～9",2732810,2597758,5330568,160890,156000,316890,5.9,6.0,5.9,1.4,1.5,1.5,"2019/01/01","2020/06/01"
"2020/06/01","10～14",2823910,2686588,5510498,158539,162767,321306,5.6,6.1,5.8,1.4,1.6,1.5,"2019/01/01","2020/06/01"
"2020/06/01","15～19",3041288,2892530,5933818,264126,266606,530732,8.7,9.2,8.9,2.3,2.6,2.5,"2019/01/01","2020/06/01"
"2020/06/01","20～24",3296677,3124747,6421424,462547,475901,938448,14.0,15.2,14.6,4.1,4.7,4.4,"2019/01/01","2020/06/01"
"2020/06/01","25～29",3310343,3124346,6434689,558531,524286,1082817,16.9,16.8,16.8,5.0,5.2,5.1,"2019/01/01","2020/06/01"
"2020/06/01","30～34",3658968,3493161,7152129,628359,552599,1180958,17.2,15.8,16.5,5.6,5.5,5.5,"2019/01/01","2020/06/01"
"2020/06/01","35～39",4002907,3856691,7859598,660451,545249,1205700,16.5,14.1,15.3,5.9,5.4,5.6,"2019/01/01","2020/06/01"
"2020/06/01","40～44",4656293,4495779,9152072,718312,560998,1279310,15.4,12.5,14.0,6.4,5.6,6.0,"2019/01/01","2020/06/01"
"2020/06/01","45～49",4983034,4848511,9831545,811665,640054,1451719,16.3,13.2,14.8,7.2,6.3,6.8,"2019/01/01","2020/06/01"
"2020/06/01","50～54",4272064,4205832,8477896,785901,638439,1424340,18.4,15.2,16.8,7.0,6.3,6.7,"2019/01/01","2020/06/01"
"2020/06/01","55～59",3832181,3829920,7662101,825168,682801,1507969,21.5,17.8,19.7,7.3,6.8,7.1,"2019/01/01","2020/06/01"
"2020/06/01","60～64",3749568,3824988,7574556,895618,769679,1665297,23.9,20.1,22.0,8.0,7.6,7.8,"2019/01/01","2020/06/01"
"2020/06/01","65～69",4439844,4717535,9157379,1051602,931827,1983429,23.7,19.8,21.7,9.3,9.2,9.3,"2019/01/01","2020/06/01"
"2020/06/01","70～74",3881182,4364234,8245416,1087788,1029504,2117292,28.0,23.6,25.7,9.7,10.2,9.9,"2019/01/01","2020/06/01"
"2020/06/01","75～79",3098224,3842998,6941222,914674,937491,1852165,29.5,24.4,26.7,8.1,9.3,8.7,"2019/01/01","2020/06/01"
"2020/06/01","80～84",2147070,3089298,5236368,640190,633483,1273673,29.8,20.5,24.3,5.7,6.3,6.0,"2019/01/01","2020/06/01"
"2020/06/01","85～89",1202685,2251901,3454586,366476,349836,716312,30.5,15.5,20.7,3.3,3.5,3.4,"2019/01/01","2020/06/01"
"2020/06/01","90～94",437923,1193961,1631884,130237,121838,252075,29.7,10.2,15.4,1.2,1.2,1.2,"2019/01/01","2020/06/01"
"2020/06/01","95～99",77620,371776,449396,20938,23585,44523,27.0,6.3,9.9,0.2,0.2,0.2,"2019/01/01","2020/06/01"
"2020/06/01","100歳以上",8241,60749,68990,2838,3850,6688,34.4,6.3,9.7,0.0,0.0,0.0,"2019/01/01","2020/06/01"
