"区分","","人口
（H30.1.1時点）","交付枚数
（H31.4.1時点）","人口に対する交付枚数率"
"全国","",127707259,16566976,"13.0％"
"","特別区",9396597,1679322,17.9
"","政令指定都市",27445782,3831387,14.0
"","市（政令指定都市を除く）",79815668,9900565,12.4
"","町村",11049212,1155702,10.5
"区分","","人口
（H30.1.1時点）","交付枚数
（H31.4.1時点）","人口に対する交付枚数率"
"全国","",127707259,16566976,"13.0％"
"","特別区",9396597,1679322,17.9
"","政令指定都市",27445782,3831387,14.0
"","市（政令指定都市を除く）",79815668,9900565,12.4
"","町村",11049212,1155702,10.5
"区分","","人口
（H30.1.1時点）","交付枚数
（H31.4.1時点）","人口に対する交付枚数率"
"全国","",127707259,16566976,"13.0％"
"","特別区",9396597,1679322,17.9
"","政令指定都市",27445782,3831387,14.0
"","市（政令指定都市を除く）",79815668,9900565,12.4
"","町村",11049212,1155702,10.5
