"区分","","人口
（H31.1.1時点）","交付枚数
（R元.9.16時点）","人口に対する交付枚数率"
"全国","",127443563,17835498,14.0
"","特別区",9486618,1836731,19.4
"","政令指定都市",27488569,4147817,15.1
"","市（政令指定都市を除く）",79522838,10624396,13.4
"","町村",10945538,1226554,11.2
"区分","","人口
（H31.1.1時点）","交付枚数
（R元.9.16時点）","人口に対する交付枚数率"
"全国","",127443563,17835498,14.0
"","特別区",9486618,1836731,19.4
"","政令指定都市",27488569,4147817,15.1
"","市（政令指定都市を除く）",79522838,10624396,13.4
"","町村",10945538,1226554,11.2
"区分","","人口
（H31.1.1時点）","交付枚数
（R元.9.16時点）","人口に対する交付枚数率"
"全国","",127443563,17835498,14.0
"","特別区",9486618,1836731,19.4
"","政令指定都市",27488569,4147817,15.1
"","市（政令指定都市を除く）",79522838,10624396,13.4
"","町村",10945538,1226554,11.2
