"区分","","人口
（H29.1.1時点）","交付枚数
（H29.12.1時点）","人口に対する交付枚数率"
"全国","",127907086,13009137,10.2
"","特別区",9302962,1220372,13.1
"","政令指定都市",27394218,3020320,11.0
"","市（政令指定都市を除く）",80061226,7817698,9.8
"","町村",11148680,950747,8.5
"区分","","人口
（H29.1.1時点）","交付枚数
（H29.12.1時点）","人口に対する交付枚数率"
"全国","",127907086,13009137,10.2
"","特別区",9302962,1220372,13.1
"","政令指定都市",27394218,3020320,11.0
"","市（政令指定都市を除く）",80061226,7817698,9.8
"","町村",11148680,950747,8.5
"区分","","人口
（H29.1.1時点）","交付枚数
（H29.12.1時点）","人口に対する交付枚数率"
"全国","",127907086,13009137,10.2
"","特別区",9302962,1220372,13.1
"","政令指定都市",27394218,3020320,11.0
"","市（政令指定都市を除く）",80061226,7817698,9.8
"","町村",11148680,950747,8.5
