"区分","","人口
（H31.1.1時点）","交付枚数
（R2.6.1時点）","人口に対する交付枚数率"
"全国","",127443563,21355669,16.8
"","特別区",9486618,2114529,22.3
"","政令指定都市",27488569,4898121,17.8
"","市（政令指定都市を除く）",79573258,12817468,16.1
"","町村",10895118,1525551,14.0
"区分","","人口
（H31.1.1時点）","交付枚数
（R2.6.1時点）","人口に対する交付枚数率"
"全国","",127443563,21355669,16.8
"","特別区",9486618,2114529,22.3
"","政令指定都市",27488569,4898121,17.8
"","市（政令指定都市を除く）",79573258,12817468,16.1
"","町村",10895118,1525551,14.0
"区分","","人口
（H31.1.1時点）","交付枚数
（R2.6.1時点）","人口に対する交付枚数率"
"全国","",127443563,21355669,16.8
"","特別区",9486618,2114529,22.3
"","政令指定都市",27488569,4898121,17.8
"","市（政令指定都市を除く）",79573258,12817468,16.1
"","町村",10895118,1525551,14.0
