"区分","","人口
（H30.1.1時点）","交付枚数
（R元.7.1時点）","人口に対する交付枚数率"
"全国","",127707259,17272307,13.5
"","特別区",9396597,1770868,18.8
"","政令指定都市",27445782,4004459,14.6
"","市（政令指定都市を除く）",79815668,10301483,12.9
"","町村",11049212,1195497,10.8
"区分","","人口
（H30.1.1時点）","交付枚数
（R元.7.1時点）","人口に対する交付枚数率"
"全国","",127707259,17272307,13.5
"","特別区",9396597,1770868,18.8
"","政令指定都市",27445782,4004459,14.6
"","市（政令指定都市を除く）",79815668,10301483,12.9
"","町村",11049212,1195497,10.8
"区分","","人口
（H30.1.1時点）","交付枚数
（R元.7.1時点）","人口に対する交付枚数率"
"全国","",127707259,17272307,13.5
"","特別区",9396597,1770868,18.8
"","政令指定都市",27445782,4004459,14.6
"","市（政令指定都市を除く）",79815668,10301483,12.9
"","町村",11049212,1195497,10.8
